Adams,35777
Allen,379299
Bartholomew,83779
Benton,8748
Blackford,11758
Boone,67843
Brown,15092
Carroll,20257
Cass,37689
Clark,118302
Clay,26225
Clinton,32399
Crawford,10577
Daviess,33351
Dearborn,49458
Decatur,26559
DeKalb,43475
Delaware,114135
Dubois,42736
Elkhart,206341
Fayette,23102
Floyd,78522
Fountain,16346
Franklin,22758
Fulton,19974
Gibson,33659
Grant,65769
Greene,31922
Hamilton,338011
Hancock,78168
Harrison,40515
Hendricks,170311
Henry,47972
Howard,82544
Huntington,36520
Jackson,44231
Jasper,33562
Jay,20436
Jefferson,32308
Jennings,27735
Johnson,158167
Knox,36594
Kosciusko,79456
LaGrange,39614
Lake,485493
LaPorte,109888
Lawrence,45370
Madison,129569
Marion,964582
Marshall,46258
Martin,10255
Miami,35516
Monroe,148431
Montgomery,38338
Morgan,70489
Newton,13984
Noble,47744
Ohio,5875
Orange,19646
Owen,20799
Parke,16937
Perry,19169
Pike,12389
Porter,170389
Posey,25427
Pulaski,12353
Putnam,37576
Randolph,24665
Ripley,28324
Rush,16581
St. Joseph,271826
Scott,23873
Shelby,44729
Spencer,20277
Starke,22995
Steuben,34594
Sullivan,20669
Switzerland,10751
Tippecanoe,195732
Tipton,15148
Union,7054
Vanderburgh,181451
Vermillion,15498
Vigo,107038
Wabash,30996
Warren,8265
Warrick,62998
Washington,28036
Wayne,65884
Wells,28296
White,24102
Whitley,33964
