state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,6860,6860,376,0
Illinois,17,0,0,1504,0
California,06,0,0,4297,0
Arizona,04,21522,21522,657,-3
Massachusetts,25,12368,12368,328,11
Wisconsin,55,6118,6118,297,29
Texas,48,0,0,3701,0
Nebraska,31,2079,2079,172,11
Utah,49,3242,3242,140,17
Oregon,41,2161,2161,147,0
Florida,12,40661,40661,3155,114
New York,36,89995,89995,445,0
Rhode Island,44,2589,2589,73,0
Georgia,13,25589,25589,2215,51
New Hampshire,33,718,718,7,0
North Carolina,37,0,0,827,0
New Jersey,34,22812,22812,419,10
Colorado,08,7161,7161,218,19
Maryland,24,14636,14636,365,33
Nevada,32,0,0,538,0
Tennessee,47,7355,7355,983,43
Hawaii,15,598,598,265,1
Indiana,18,11467,11467,839,57
Kentucky,21,4730,4730,510,2
Minnesota,27,6760,6760,257,17
Oklahoma,40,5137,5137,472,24
Pennsylvania,42,0,0,514,0
South Carolina,45,8182,8182,766,11
District of Columbia,11,0,0,85,0
Kansas,20,2441,2441,177,0
Missouri,29,0,0,934,0
Vermont,50,0,0,4,0
Virginia,51,9932,9932,1051,30
Connecticut,09,11275,11275,50,0
Iowa,19,0,0,326,0
Louisiana,22,0,0,799,0
Ohio,39,13967,13967,687,80
Michigan,26,0,0,616,0
South Dakota,46,1094,1094,68,10
Arkansas,05,4524,4524,409,38
Delaware,10,0,0,53,0
Mississippi,28,5410,5410,758,84
New Mexico,35,3202,3202,68,7
North Dakota,38,604,604,63,2
Wyoming,56,219,219,17,0
Alaska,02,265,265,41,5
Maine,23,429,429,7,2
Alabama,01,15137,15137,778,223
Idaho,16,1468,1468,114,2
Montana,30,502,502,161,4
West Virginia,54,0,0,152,0
