state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,4240,4240,400,46
Illinois,17,0,0,1464,0
California,06,0,0,5956,0
Arizona,04,4617,4617,2691,22
Massachusetts,25,11319,11319,748,9
Wisconsin,55,3393,3393,251,11
Texas,48,0,0,5497,0
Nebraska,31,1315,1315,123,3
Utah,49,1396,1396,289,31
Oregon,41,1022,1022,149,0
Florida,12,14540,14540,0,108
New York,36,89995,89995,869,0
Rhode Island,44,1984,1984,91,0
Georgia,13,10711,10711,1236,22
New Hampshire,33,562,562,35,1
North Carolina,37,0,0,890,0
New Jersey,34,19841,19841,1014,18
Colorado,08,5401,5401,234,2
Maryland,24,10793,10793,446,42
Nevada,32,0,0,511,0
Tennessee,47,2564,2564,800,0
Hawaii,15,110,110,0,1
Indiana,18,7003,7003,617,21
Kentucky,21,2590,2590,386,1
Minnesota,27,4010,4010,288,24
Oklahoma,40,1456,1456,329,16
Pennsylvania,42,0,0,648,0
South Carolina,45,2622,2622,954,0
District of Columbia,11,0,0,126,0
Kansas,20,1128,1128,0,0
Missouri,29,0,0,412,0
Vermont,50,0,0,15,0
Virginia,51,6136,6136,818,16
Connecticut,09,10268,10268,103,0
Iowa,19,0,0,118,0
Louisiana,22,0,0,715,0
Ohio,39,7681,7681,661,57
Michigan,26,0,0,557,0
South Dakota,46,652,652,75,7
Arkansas,05,1373,1373,278,36
Delaware,10,0,0,78,0
Mississippi,28,3102,3102,676,24
New Mexico,35,1865,1865,114,14
North Dakota,38,226,226,24,1
Wyoming,56,112,112,5,1
Alaska,02,68,68,12,1
Maine,23,346,346,31,1
Alabama,01,2703,2703,650,6
Idaho,16,312,312,48,3
Montana,30,97,97,11,2
West Virginia,54,0,0,32,0
