state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,16642,16642,1012,84
Illinois,17,0,0,3284,0
California,06,0,0,20814,0
Arizona,04,48207,48207,4663,486
Massachusetts,25,17556,17556,2209,447
Wisconsin,55,23363,23363,834,119
Texas,48,0,0,13870,0
Nebraska,31,5590,5590,438,0
Utah,49,12729,12729,604,84
Oregon,41,7324,7324,379,126
Florida,12,69954,69954,7141,471
New York,36,89995,89995,9273,0
Rhode Island,44,7720,7720,379,70
Georgia,13,47311,47311,5783,305
New Hampshire,33,976,976,254,5
North Carolina,37,0,0,3740,0
New Jersey,34,55007,55007,3547,205
Colorado,08,20977,20977,827,208
Maryland,24,30327,30327,1858,170
Nevada,32,0,0,1727,0
Tennessee,47,16233,16233,2813,99
Hawaii,15,1996,1996,102,13
Indiana,18,38857,38857,2302,162
Kentucky,21,15562,15562,1678,121
Minnesota,27,23608,23608,570,91
Oklahoma,40,20295,20295,1722,200
Pennsylvania,42,0,0,4882,0
South Carolina,45,16689,16689,2386,178
District of Columbia,11,0,0,262,0
Kansas,20,7930,7930,708,123
Missouri,29,0,0,2397,0
Vermont,50,0,0,46,0
Virginia,51,20231,20231,3098,165
Connecticut,09,12257,12257,1124,0
Iowa,19,0,0,474,0
Louisiana,22,0,0,1858,0
Ohio,39,44009,44009,3566,404
Michigan,26,0,0,2077,0
South Dakota,46,6109,6109,195,17
Arkansas,05,12982,12982,1179,131
Delaware,10,0,0,456,0
Mississippi,28,8546,8546,1231,0
New Mexico,35,11280,11280,605,70
North Dakota,38,3723,3723,55,4
Wyoming,56,1240,1240,81,4
Alaska,02,1170,1170,57,8
Maine,23,1287,1287,198,18
Alabama,01,39928,39928,2522,424
Idaho,16,6370,6370,266,63
Montana,30,4022,4022,159,30
West Virginia,54,0,0,655,0
