state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,3639,3639,479,24
Illinois,17,0,0,2702,0
California,06,0,0,4526,0
Arizona,04,3777,3777,1278,65
Massachusetts,25,10369,10369,1529,66
Wisconsin,55,2832,2832,315,41
Texas,48,0,0,1822,0
Nebraska,31,919,919,181,14
Utah,49,890,890,147,20
Oregon,41,819,819,121,7
Florida,12,11163,11163,0,97
New York,36,89995,89995,2603,0
Rhode Island,44,1775,1775,182,0
Georgia,13,8662,8662,788,16
New Hampshire,33,487,487,84,15
North Carolina,37,0,0,708,0
New Jersey,34,18023,18023,1933,143
Colorado,08,4480,4480,299,8
Maryland,24,9451,9451,1059,105
Nevada,32,0,0,348,0
Tennessee,47,1923,1923,535,30
Hawaii,15,83,83,0,0
Indiana,18,6091,6091,926,38
Kentucky,21,2361,2361,495,16
Minnesota,27,3336,3336,473,47
Oklahoma,40,1026,1026,158,12
Pennsylvania,42,0,0,1174,0
South Carolina,45,1814,1814,453,0
District of Columbia,11,0,0,276,0
Kansas,20,917,917,0,0
Missouri,29,0,0,666,0
Vermont,50,0,0,16,0
Virginia,51,5054,5054,1171,46
Connecticut,09,9669,9669,333,0
Iowa,19,0,0,299,0
Louisiana,22,0,0,582,0
Ohio,39,6460,6460,628,75
Michigan,26,0,0,864,0
South Dakota,46,474,474,93,7
Arkansas,05,838,838,154,46
Delaware,10,0,0,117,0
Mississippi,28,2475,2475,604,0
New Mexico,35,1489,1489,176,0
North Dakota,38,182,182,29,2
Wyoming,56,90,90,4,0
Alaska,02,53,53,7,0
Maine,23,296,296,35,3
Alabama,01,1993,1993,473,44
Idaho,16,257,257,21,2
Montana,30,68,68,1,0
West Virginia,54,0,0,27,0
