state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,16370,16370,1066,290
Illinois,17,0,0,3406,0
California,06,0,0,21579,0
Arizona,04,46648,46648,4849,983
Massachusetts,25,17109,17109,2197,0
Wisconsin,55,23026,23026,953,103
Texas,48,0,0,13929,0
Nebraska,31,5565,5565,457,26
Utah,49,12452,12452,627,101
Oregon,41,7198,7198,418,25
Florida,12,68780,68780,7347,336
New York,36,89995,89995,8888,0
Rhode Island,44,7432,7432,384,0
Georgia,13,46515,46515,5910,307
New Hampshire,33,955,955,252,2
North Carolina,37,0,0,3895,0
New Jersey,34,54395,54395,3677,215
Colorado,08,20664,20664,911,37
Maryland,24,29412,29412,1821,127
Nevada,32,0,0,1702,0
Tennessee,47,15953,15953,2972,80
Hawaii,15,1928,1928,108,0
Indiana,18,38266,38266,2404,210
Kentucky,21,15246,15246,1631,144
Minnesota,27,23291,23291,612,106
Oklahoma,40,19806,19806,1866,190
Pennsylvania,42,0,0,4743,0
South Carolina,45,16288,16288,2387,153
District of Columbia,11,0,0,280,0
Kansas,20,7713,7713,776,0
Missouri,29,0,0,2597,0
Vermont,50,0,0,46,0
Virginia,51,19846,19846,3119,105
Connecticut,09,12257,12257,1098,0
Iowa,19,0,0,505,0
Louisiana,22,0,0,2001,0
Ohio,39,43048,43048,3742,241
Michigan,26,0,0,2222,0
South Dakota,46,6039,6039,209,16
Arkansas,05,12686,12686,1292,88
Delaware,10,0,0,441,0
Mississippi,28,8425,8425,1336,0
New Mexico,35,11075,11075,632,70
North Dakota,38,3704,3704,95,5
Wyoming,56,1215,1215,86,4
Alaska,02,1152,1152,67,0
Maine,23,1242,1242,194,14
Alabama,01,38763,38763,2772,0
Idaho,16,6269,6269,345,44
Montana,30,3957,3957,190,17
West Virginia,54,0,0,718,0
