state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,8522,8522,450,55
Illinois,17,0,0,3228,0
California,06,0,0,3212,0
Arizona,04,21492,21492,889,68
Massachusetts,25,13286,13286,623,33
Wisconsin,55,11374,11374,1502,229
Texas,48,0,0,5696,0
Nebraska,31,3033,3033,584,56
Utah,49,5463,5463,335,68
Oregon,41,3204,3204,211,34
Florida,12,49914,49914,2297,156
New York,36,89995,89995,1121,0
Rhode Island,44,3358,3358,153,49
Georgia,13,31699,31699,1725,93
New Hampshire,33,779,779,42,2
North Carolina,37,0,0,1184,0
New Jersey,34,37688,37688,1090,75
Colorado,08,9064,9064,788,33
Maryland,24,17093,17093,520,70
Nevada,32,0,0,585,0
Tennessee,47,10306,10306,1589,42
Hawaii,15,1097,1097,59,7
Indiana,18,16847,16847,1740,162
Kentucky,21,7210,7210,964,112
Minnesota,27,10270,10270,738,151
Oklahoma,40,8889,8889,852,111
Pennsylvania,42,0,0,1259,0
South Carolina,45,10500,10500,789,48
District of Columbia,11,0,0,107,0
Kansas,20,3832,3832,512,0
Missouri,29,0,0,1574,0
Vermont,50,0,0,4,0
Virginia,51,12604,12604,1026,93
Connecticut,09,12257,12257,329,0
Iowa,19,0,0,630,0
Louisiana,22,0,0,612,0
Ohio,39,19132,19132,1666,163
Michigan,26,0,0,1728,0
South Dakota,46,2683,2683,415,23
Arkansas,05,7038,7038,652,35
Delaware,10,0,0,89,0
Mississippi,28,6576,6576,673,0
New Mexico,35,4617,4617,354,64
North Dakota,38,1618,1618,309,32
Wyoming,56,439,439,120,-1
Alaska,02,455,455,94,7
Maine,23,486,486,17,0
Alabama,01,20450,20450,960,0
Idaho,16,2572,2572,263,23
Montana,30,1350,1350,369,23
West Virginia,54,0,0,236,0
