state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,4442,4442,460,40
Illinois,17,0,0,1349,0
California,06,0,0,7024,0
Arizona,04,5018,5018,3013,102
Massachusetts,25,11436,11436,656,44
Wisconsin,55,3555,3555,244,36
Texas,48,0,0,7652,0
Nebraska,31,1353,1353,121,10
Utah,49,1529,1529,232,24
Oregon,41,1069,1069,173,14
Florida,12,15795,15795,0,341
New York,36,89995,89995,857,0
Rhode Island,44,2019,2019,61,8
Georgia,13,11653,11653,1671,153
New Hampshire,33,567,567,31,2
North Carolina,37,0,0,951,0
New Jersey,34,20214,20214,1028,73
Colorado,08,5537,5537,270,10
Maryland,24,10973,10973,422,34
Nevada,32,0,0,704,0
Tennessee,47,2825,2825,949,50
Hawaii,15,116,116,0,0
Indiana,18,7175,7175,633,36
Kentucky,21,2685,2685,455,23
Minnesota,27,4139,4139,270,27
Oklahoma,40,1661,1661,391,46
Pennsylvania,42,0,0,598,0
South Carolina,45,2882,2882,1148,28
District of Columbia,11,0,0,110,0
Kansas,20,1219,1219,0,24
Missouri,29,0,0,716,0
Vermont,50,0,0,16,0
Virginia,51,6382,6382,818,49
Connecticut,09,10411,10411,95,0
Iowa,19,0,0,146,0
Louisiana,22,0,0,852,0
Ohio,39,8084,8084,740,46
Michigan,26,0,0,548,0
South Dakota,46,687,687,58,4
Arkansas,05,1517,1517,285,40
Delaware,10,0,0,57,0
Mississippi,28,3208,3208,863,0
New Mexico,35,1970,1970,130,25
North Dakota,38,237,237,20,3
Wyoming,56,119,119,8,0
Alaska,02,69,69,25,1
Maine,23,358,358,27,4
Alabama,01,2883,2883,838,48
Idaho,16,350,350,64,10
Montana,30,109,109,17,3
West Virginia,54,0,0,25,0
