state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,12368,12368,1140,131
Illinois,17,0,0,5073,0
California,06,0,0,13960,0
Arizona,04,30949,30949,3622,262
Massachusetts,25,14823,14823,1707,0
Wisconsin,55,19249,19249,1448,87
Texas,48,0,0,9230,0
Nebraska,31,4784,4784,711,19
Utah,49,9421,9421,558,70
Oregon,41,5395,5395,625,0
Florida,12,58891,58891,4687,141
New York,36,89995,89995,5410,0
Rhode Island,44,5534,5534,433,48
Georgia,13,37637,37637,3237,87
New Hampshire,33,861,861,251,4
North Carolina,37,0,0,2520,0
New Jersey,34,43834,43834,3591,122
Colorado,08,16126,16126,1610,34
Maryland,24,23393,23393,1679,204
Nevada,32,0,0,1823,0
Tennessee,47,13144,13144,2906,43
Hawaii,15,1357,1357,58,0
Indiana,18,30796,30796,3108,263
Kentucky,21,11306,11306,1711,0
Minnesota,27,19536,19536,1461,108
Oklahoma,40,14328,14328,1664,158
Pennsylvania,42,0,0,5970,0
South Carolina,45,12874,12874,1278,149
District of Columbia,11,0,0,225,0
Kansas,20,5800,5800,1068,0
Missouri,29,0,0,2637,0
Vermont,50,0,0,24,0
Virginia,51,16014,16014,2154,47
Connecticut,09,12257,12257,1210,0
Iowa,19,0,0,749,0
Louisiana,22,0,0,1533,0
Ohio,39,31973,31973,5152,170
Michigan,26,0,0,3893,0
South Dakota,46,5174,5174,436,49
Arkansas,05,9927,9927,1057,16
Delaware,10,0,0,357,0
Mississippi,28,7703,7703,1264,0
New Mexico,35,7878,7878,878,46
North Dakota,38,2984,2984,270,0
Wyoming,56,956,956,184,11
Alaska,02,886,886,139,3
Maine,23,878,878,175,7
Alabama,01,28146,28146,2248,0
Idaho,16,4746,4746,458,27
Montana,30,3080,3080,365,8
West Virginia,54,0,0,702,0
