state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,3699,3699,372,30
Illinois,17,0,0,2573,0
California,06,0,0,4583,0
Arizona,04,3959,3959,1243,48
Massachusetts,25,10507,10507,1397,82
Wisconsin,55,2904,2904,331,44
Texas,48,0,0,2056,0
Nebraska,31,967,967,176,32
Utah,49,931,931,230,13
Oregon,41,843,843,137,24
Florida,12,11460,11460,0,178
New York,36,89995,89995,2344,0
Rhode Island,44,1815,1815,144,8
Georgia,13,8872,8872,834,126
New Hampshire,33,492,492,78,3
North Carolina,37,0,0,774,0
New Jersey,34,18069,18069,1736,19
Colorado,08,5025,5025,305,166
Maryland,24,9676,9676,970,47
Nevada,32,0,0,350,0
Tennessee,47,1974,1974,587,26
Hawaii,15,84,84,0,0
Indiana,18,6225,6225,853,46
Kentucky,21,2386,2386,525,18
Minnesota,27,3441,3441,455,40
Oklahoma,40,1061,1061,148,22
Pennsylvania,42,0,0,1032,0
South Carolina,45,1898,1898,541,84
District of Columbia,11,0,0,255,0
Kansas,20,936,936,0,0
Missouri,29,0,0,533,0
Vermont,50,0,0,16,0
Virginia,51,5203,5203,1169,60
Connecticut,09,9669,9669,293,0
Iowa,19,0,0,255,0
Louisiana,22,0,0,568,0
Ohio,39,6620,6620,639,70
Michigan,26,0,0,661,0
South Dakota,46,487,487,90,5
Arkansas,05,865,865,173,21
Delaware,10,0,0,108,0
Mississippi,28,2535,2535,598,0
New Mexico,35,1583,1583,193,25
North Dakota,38,189,189,32,5
Wyoming,56,91,91,8,0
Alaska,02,53,53,12,0
Maine,23,302,302,29,1
Alabama,01,2087,2087,628,33
Idaho,16,260,260,21,0
Montana,30,72,72,5,3
West Virginia,54,0,0,24,0
