state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,5890,5890,551,16
Illinois,17,0,0,1538,0
California,06,0,0,6956,0
Arizona,04,19244,19244,1659,3
Massachusetts,25,12044,12044,386,22
Wisconsin,55,4980,4980,338,50
Texas,48,0,0,7872,0
Nebraska,31,1704,1704,156,16
Utah,49,2604,2604,222,26
Oregon,41,1758,1758,204,15
Florida,12,30639,30639,6890,525
New York,36,89995,89995,573,0
Rhode Island,44,2294,2294,82,18
Georgia,13,20556,20556,2878,274
New Hampshire,33,700,700,24,1
North Carolina,37,0,0,1129,0
New Jersey,34,21949,21949,540,0
Colorado,08,6602,6602,346,20
Maryland,24,13105,13105,515,58
Nevada,32,0,0,976,0
Tennessee,47,5262,5262,1393,72
Hawaii,15,231,231,102,6
Indiana,18,9354,9354,960,0
Kentucky,21,4002,4002,653,27
Minnesota,27,5506,5506,309,48
Oklahoma,40,3594,3594,594,39
Pennsylvania,42,0,0,634,0
South Carolina,45,6153,6153,1402,0
District of Columbia,11,0,0,80,0
Kansas,20,1875,1875,333,0
Missouri,29,0,0,924,0
Vermont,50,0,0,8,0
Virginia,51,8332,8332,1258,51
Connecticut,09,10920,10920,65,0
Iowa,19,0,0,229,0
Louisiana,22,0,0,1406,0
Ohio,39,11516,11516,936,69
Michigan,26,0,0,694,0
South Dakota,46,871,871,48,5
Arkansas,05,3223,3223,523,55
Delaware,10,0,0,36,0
Mississippi,28,4606,4606,1151,29
New Mexico,35,2838,2838,127,19
North Dakota,38,414,414,49,6
Wyoming,56,177,177,17,1
Alaska,02,172,172,37,5
Maine,23,393,393,9,0
Alabama,01,11537,11537,1454,0
Idaho,16,968,968,201,14
Montana,30,268,268,81,4
West Virginia,54,0,0,121,0
