state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,5692,5692,512,37
Illinois,17,0,0,1418,0
California,06,0,0,7629,0
Arizona,04,11400,11400,2017,29
Massachusetts,25,11942,11942,375,6
Wisconsin,55,4732,4732,345,15
Texas,48,0,0,8819,0
Nebraska,31,1630,1630,144,1
Utah,49,2450,2450,252,20
Oregon,41,1607,1607,208,0
Florida,12,27744,27744,7938,220
New York,36,89995,89995,536,0
Rhode Island,44,2231,2231,80,20
Georgia,13,19124,19124,3111,60
New Hampshire,33,696,696,24,1
North Carolina,37,0,0,1057,0
New Jersey,34,21565,21565,738,0
Colorado,08,6487,6487,340,13
Maryland,24,12832,12832,548,86
Nevada,32,0,0,1152,0
Tennessee,47,4808,4808,1323,52
Hawaii,15,199,199,75,5
Indiana,18,9004,9004,904,156
Kentucky,21,3815,3815,612,33
Minnesota,27,5298,5298,302,57
Oklahoma,40,3275,3275,628,34
Pennsylvania,42,0,0,585,0
South Carolina,45,5527,5527,1401,0
District of Columbia,11,0,0,104,0
Kansas,20,1782,1782,232,31
Missouri,29,0,0,889,0
Vermont,50,0,0,14,0
Virginia,51,8018,8018,1205,63
Connecticut,09,10807,10807,56,0
Iowa,19,0,0,241,0
Louisiana,22,0,0,1496,0
Ohio,39,10992,10992,1001,92
Michigan,26,0,0,694,0
South Dakota,46,838,838,39,3
Arkansas,05,2966,2966,513,72
Delaware,10,0,0,40,0
Mississippi,28,4380,4380,1172,66
New Mexico,35,2730,2730,131,10
North Dakota,38,379,379,46,8
Wyoming,56,167,167,19,0
Alaska,02,156,156,38,2
Maine,23,389,389,12,1
Alabama,01,10865,10865,1540,344
Idaho,16,874,874,239,18
Montana,30,236,236,69,3
West Virginia,54,0,0,116,0
