state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,7098,7098,385,17
Illinois,17,0,0,1431,0
California,06,0,0,3665,0
Arizona,04,21774,21774,489,1
Massachusetts,25,12442,12442,302,11
Wisconsin,55,6350,6350,341,18
Texas,48,0,0,3391,0
Nebraska,31,2139,2139,169,2
Utah,49,3338,3338,170,12
Oregon,41,2235,2235,161,0
Florida,12,41846,41846,2637,77
New York,36,89995,89995,464,0
Rhode Island,44,2644,2644,80,0
Georgia,13,26394,26394,2134,25
New Hampshire,33,721,721,7,0
North Carolina,37,0,0,895,0
New Jersey,34,22965,22965,420,2
Colorado,08,7240,7240,239,13
Maryland,24,14884,14884,347,33
Nevada,32,0,0,473,0
Tennessee,47,7766,7766,833,56
Hawaii,15,636,636,225,1
Indiana,18,11796,11796,844,47
Kentucky,21,4905,4905,504,19
Minnesota,27,6954,6954,233,23
Oklahoma,40,5466,5466,499,15
Pennsylvania,42,0,0,472,0
South Carolina,45,8448,8448,733,22
District of Columbia,11,0,0,91,0
Kansas,20,2572,2572,192,35
Missouri,29,0,0,1010,0
Vermont,50,0,0,3,0
Virginia,51,10293,10293,1006,49
Connecticut,09,11357,11357,64,0
Iowa,19,0,0,272,0
Louisiana,22,0,0,664,0
Ohio,39,14378,14378,671,64
Michigan,26,0,0,590,0
South Dakota,46,1171,1171,110,6
Arkansas,05,4736,4736,378,17
Delaware,10,0,0,64,0
Mississippi,28,5499,5499,513,89
New Mexico,35,3274,3274,60,7
North Dakota,38,646,646,65,3
Wyoming,56,230,230,13,2
Alaska,02,275,275,37,3
Maine,23,431,431,9,0
Alabama,01,15756,15756,792,229
Idaho,16,1604,1604,165,8
Montana,30,531,531,144,6
West Virginia,54,0,0,151,0
