state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,7874,7874,376,88
Illinois,17,0,0,1848,0
California,06,0,0,3060,0
Arizona,04,20312,20312,706,55
Massachusetts,25,12899,12899,514,17
Wisconsin,55,8601,8601,959,147
Texas,48,0,0,4053,0
Nebraska,31,2543,2543,299,17
Utah,49,4383,4383,254,52
Oregon,41,2804,2804,220,63
Florida,12,46753,46753,2127,212
New York,36,89995,89995,923,0
Rhode Island,44,2961,2961,126,0
Georgia,13,29762,29762,1753,106
New Hampshire,33,758,758,17,6
North Carolina,37,0,0,1103,0
New Jersey,34,23977,23977,649,71
Colorado,08,8003,8003,385,88
Maryland,24,16150,16150,402,43
Nevada,32,0,0,505,0
Tennessee,47,9309,9309,1245,61
Hawaii,15,939,939,103,4
Indiana,18,14115,14115,1288,131
Kentucky,21,6259,6259,704,138
Minnesota,27,8500,8500,481,79
Oklahoma,40,7265,7265,760,-19
Pennsylvania,42,0,0,773,0
South Carolina,45,9654,9654,745,54
District of Columbia,11,0,0,88,0
Kansas,20,3239,3239,355,0
Missouri,29,0,0,1313,0
Vermont,50,0,0,5,0
Virginia,51,11598,11598,999,45
Connecticut,09,11845,11845,172,0
Iowa,19,0,0,463,0
Louisiana,22,0,0,573,0
Ohio,39,16565,16565,1016,123
Michigan,26,0,0,899,0
South Dakota,46,1911,1911,303,25
Arkansas,05,6069,6069,601,109
Delaware,10,0,0,112,0
Mississippi,28,6237,6237,600,0
New Mexico,35,3758,3758,125,23
North Dakota,38,1126,1126,206,27
Wyoming,56,343,343,46,5
Alaska,02,355,355,59,3
Maine,23,463,463,8,0
Alabama,01,18440,18440,823,261
Idaho,16,2058,2058,187,17
Montana,30,911,911,294,7
West Virginia,54,0,0,181,0
