state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,7971,7971,396,15
Illinois,17,0,0,2073,0
California,06,0,0,2995,0
Arizona,04,20618,20618,757,127
Massachusetts,25,12990,12990,500,19
Wisconsin,55,9027,9027,1068,0
Texas,48,0,0,4275,0
Nebraska,31,2647,2647,322,16
Utah,49,4610,4610,313,51
Oregon,41,2886,2886,190,18
Florida,12,47513,47513,2031,117
New York,36,89995,89995,929,0
Rhode Island,44,3039,3039,125,24
Georgia,13,30350,30350,1622,133
New Hampshire,33,761,761,18,0
North Carolina,37,0,0,1140,0
New Jersey,34,24160,24160,759,0
Colorado,08,8217,8217,428,48
Maryland,24,16352,16352,422,64
Nevada,32,0,0,503,0
Tennessee,47,9555,9555,1299,66
Hawaii,15,988,988,100,10
Indiana,18,14604,14604,1358,131
Kentucky,21,6592,6592,691,47
Minnesota,27,8801,8801,484,83
Oklahoma,40,7770,7770,792,169
Pennsylvania,42,0,0,847,0
South Carolina,45,9917,9917,759,63
District of Columbia,11,0,0,84,0
Kansas,20,3370,3370,456,0
Missouri,29,0,0,1431,0
Vermont,50,0,0,3,0
Virginia,51,11831,11831,993,51
Connecticut,09,12043,12043,184,0
Iowa,19,0,0,461,0
Louisiana,22,0,0,557,0
Ohio,39,17009,17009,1079,99
Michigan,26,0,0,1000,0
South Dakota,46,2077,2077,295,33
Arkansas,05,6278,6278,573,35
Delaware,10,0,0,101,0
Mississippi,28,6237,6237,609,0
New Mexico,35,3911,3911,173,50
North Dakota,38,1242,1242,217,21
Wyoming,56,358,358,51,-1
Alaska,02,377,377,68,4
Maine,23,467,467,11,1
Alabama,01,18855,18855,823,0
Idaho,16,2174,2174,221,37
Montana,30,1001,1001,324,15
West Virginia,54,0,0,180,0
