state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,0,0,655,0
Illinois,17,0,0,3680,0
California,06,0,0,2714,0
Arizona,04,906,906,0,53
Massachusetts,25,2119,2119,2119,288
Wisconsin,55,790,790,351,45
Texas,48,0,0,1491,0
Nebraska,31,0,0,0,0
Utah,49,158,158,0,10
Oregon,41,324,324,0,66
Florida,12,2062,2062,0,63
New York,36,39982,39982,18079,3050
Rhode Island,44,0,0,143,0
Georgia,13,1993,1993,0,219
New Hampshire,33,118,118,0,15
North Carolina,37,0,0,386,0
New Jersey,34,0,0,7026,0
Colorado,08,1162,1162,848,83
Maryland,24,1210,1210,0,104
Nevada,32,0,0,282,0
Tennessee,47,449,449,708,41
Hawaii,15,42,42,0,16
Indiana,18,0,0,0,0
Kentucky,21,0,0,0,0
Minnesota,27,271,271,135,29
Oklahoma,40,390,390,188,14
Pennsylvania,42,0,0,1898,0
South Carolina,45,241,241,0,0
District of Columbia,11,0,0,0,0
Kansas,20,223,223,0,0
Missouri,29,0,0,519,0
Vermont,50,50,50,35,5
Virginia,51,563,563,0,66
Connecticut,09,0,0,1308,0
Iowa,19,193,193,122,0
Louisiana,22,0,0,1983,0
Ohio,39,1495,1495,0,141
Michigan,26,0,0,0,0
South Dakota,46,26,26,0,3
Arkansas,05,130,130,76,-18
Delaware,10,0,0,147,0
Mississippi,28,410,410,0,33
New Mexico,35,0,0,59,0
North Dakota,38,34,34,16,1
Wyoming,56,33,33,0,0
Alaska,02,28,28,0,2
Maine,23,101,101,0,2
Alabama,01,314,314,308,43
Idaho,16,93,93,62,10
Montana,30,31,31,0,3
West Virginia,54,0,0,0,0
