state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,9281,9281,658,15
Illinois,17,0,0,5474,0
California,06,0,0,4454,0
Arizona,04,23049,23049,1506,112
Massachusetts,25,13588,13588,737,0
Wisconsin,55,14381,14381,2097,155
Texas,48,0,0,7274,0
Nebraska,31,3551,3551,889,29
Utah,49,6769,6769,502,93
Oregon,41,3628,3628,356,0
Florida,12,52529,52529,3118,88
New York,36,89995,89995,1845,0
Rhode Island,44,3857,3857,256,28
Georgia,13,33241,33241,1978,25
New Hampshire,33,804,804,69,0
North Carolina,37,0,0,1395,0
New Jersey,34,39018,39018,2004,82
Colorado,08,11124,11124,1417,68
Maryland,24,18576,18576,938,118
Nevada,32,0,0,1025,0
Tennessee,47,11141,11141,1972,25
Hawaii,15,1194,1194,78,0
Indiana,18,20704,20704,2628,321
Kentucky,21,8783,8783,1378,0
Minnesota,27,13074,13074,1424,159
Oklahoma,40,10372,10372,1247,101
Pennsylvania,42,0,0,2440,0
South Carolina,45,11211,11211,752,29
District of Columbia,11,0,0,104,0
Kansas,20,4327,4327,811,0
Missouri,29,0,0,2462,0
Vermont,50,0,0,20,0
Virginia,51,13504,13504,1284,24
Connecticut,09,12257,12257,659,0
Iowa,19,0,0,1279,0
Louisiana,22,0,0,753,0
Ohio,39,22265,22265,3175,189
Michigan,26,0,0,3241,0
South Dakota,46,3644,3644,553,46
Arkansas,05,7876,7876,830,29
Delaware,10,0,0,81,0
Mississippi,28,6914,6914,756,0
New Mexico,35,5570,5570,506,47
North Dakota,38,2178,2178,400,25
Wyoming,56,580,580,189,0
Alaska,02,550,550,141,7
Maine,23,574,574,67,2
Alabama,01,22275,22275,1195,0
Idaho,16,3148,3148,395,46
Montana,30,2047,2047,435,5
West Virginia,54,0,0,365,0
