state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,3480,3480,536,25
Illinois,17,0,0,3296,0
California,06,0,0,4331,0
Arizona,04,3379,3379,973,45
Massachusetts,25,9823,9823,1824,34
Wisconsin,55,2583,2583,414,20
Texas,48,0,0,1684,0
Nebraska,31,0,0,0,0
Utah,49,775,775,142,12
Oregon,41,778,778,131,7
Florida,12,10453,10453,0,78
New York,36,89590,89590,3436,190
Rhode Island,44,1701,1701,206,19
Georgia,13,7946,7946,853,25
New Hampshire,33,449,449,107,9
North Carolina,37,0,0,649,0
New Jersey,34,17197,17197,2497,76
Colorado,08,4347,4347,414,14
Maryland,24,8738,8738,1183,119
Nevada,32,0,0,336,0
Tennessee,47,1750,1750,463,18
Hawaii,15,83,83,0,0
Indiana,18,5285,5285,1050,0
Kentucky,21,2272,2272,480,6
Minnesota,27,3047,3047,555,36
Oklahoma,40,985,985,154,3
Pennsylvania,42,0,0,1352,0
South Carolina,45,1634,1634,402,0
District of Columbia,11,0,0,295,0
Kansas,20,842,842,0,0
Missouri,29,0,0,718,0
Vermont,50,0,0,18,0
Virginia,51,4643,4643,1458,42
Connecticut,09,12538,12538,481,0
Iowa,19,0,0,341,0
Louisiana,22,0,0,678,0
Ohio,39,6049,6049,779,38
Michigan,26,0,0,774,0
South Dakota,46,432,432,86,5
Arkansas,05,711,711,115,9
Delaware,10,0,0,160,0
Mississippi,28,2272,2272,570,32
New Mexico,35,1317,1317,182,0
North Dakota,38,167,167,36,2
Wyoming,56,85,85,13,0
Alaska,02,50,50,14,0
Maine,23,283,283,49,11
Alabama,01,1844,1844,527,18
Idaho,16,242,242,29,2
Montana,30,67,67,2,0
West Virginia,54,0,0,33,0
