state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,4003,4003,359,44
Illinois,17,0,0,1696,0
California,06,0,0,4582,0
Arizona,04,4252,4252,1938,6
Massachusetts,25,11076,11076,964,40
Wisconsin,55,3203,3203,239,26
Texas,48,0,0,3247,0
Nebraska,31,1200,1200,141,34
Utah,49,1161,1161,232,16
Oregon,41,946,946,154,13
Florida,12,13227,13227,0,165
New York,36,89995,89995,1220,0
Rhode Island,44,1922,1922,123,0
Georgia,13,9837,9837,944,65
New Hampshire,33,549,549,61,16
North Carolina,37,0,0,883,0
New Jersey,34,19267,19267,1125,0
Colorado,08,5323,5323,255,5
Maryland,24,10497,10497,644,50
Nevada,32,0,0,370,0
Tennessee,47,2266,2266,588,28
Hawaii,15,96,96,0,1
Indiana,18,6755,6755,768,24
Kentucky,21,2522,2522,354,28
Minnesota,27,3767,3767,324,19
Oklahoma,40,1229,1229,197,20
Pennsylvania,42,0,0,715,0
South Carolina,45,2294,2294,673,0
District of Columbia,11,0,0,177,0
Kansas,20,1035,1035,0,0
Missouri,29,0,0,415,0
Vermont,50,0,0,9,0
Virginia,51,5807,5807,880,10
Connecticut,09,10099,10099,150,0
Iowa,19,0,0,182,0
Louisiana,22,0,0,574,0
Ohio,39,7201,7201,482,34
Michigan,26,0,0,557,0
South Dakota,46,598,598,91,9
Arkansas,05,1100,1100,224,0
Delaware,10,0,0,75,0
Mississippi,28,2767,2767,465,0
New Mexico,35,1740,1740,145,5
North Dakota,38,213,213,28,3
Wyoming,56,98,98,8,0
Alaska,02,65,65,16,2
Maine,23,333,333,29,5
Alabama,01,2443,2443,638,27
Idaho,16,279,279,28,1
Montana,30,85,85,10,3
West Virginia,54,0,0,22,0
