state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,7349,7349,384,35
Illinois,17,0,0,1713,0
California,06,0,0,3484,0
Arizona,04,21942,21942,565,17
Massachusetts,25,12606,12606,375,14
Wisconsin,55,6897,6897,530,76
Texas,48,0,0,3204,0
Nebraska,31,2247,2247,200,33
Utah,49,3619,3619,216,35
Oregon,41,2438,2438,188,19
Florida,12,43621,43621,2169,188
New York,36,89995,89995,500,0
Rhode Island,44,2725,2725,94,12
Georgia,13,27903,27903,1932,154
New Hampshire,33,732,732,16,4
North Carolina,37,0,0,902,0
New Jersey,34,23252,23252,433,37
Colorado,08,7454,7454,258,10
Maryland,24,15299,15299,349,31
Nevada,32,0,0,468,0
Tennessee,47,8413,8413,813,75
Hawaii,15,763,763,162,14
Indiana,18,12388,12388,840,76
Kentucky,21,5119,5119,543,24
Minnesota,27,7335,7335,303,32
Oklahoma,40,6130,6130,593,73
Pennsylvania,42,0,0,422,0
South Carolina,45,8945,8945,804,39
District of Columbia,11,0,0,97,0
Kansas,20,2766,2766,313,0
Missouri,29,0,0,1056,0
Vermont,50,0,0,3,0
Virginia,51,10769,10769,982,51
Connecticut,09,11560,11560,72,113
Iowa,19,0,0,305,0
Louisiana,22,0,0,575,0
Ohio,39,15051,15051,586,74
Michigan,26,0,0,558,0
South Dakota,46,1375,1375,194,8
Arkansas,05,5160,5160,450,62
Delaware,10,0,0,57,0
Mississippi,28,5607,5607,631,0
New Mexico,35,3402,3402,66,14
North Dakota,38,777,777,89,14
Wyoming,56,255,255,19,2
Alaska,02,300,300,43,4
Maine,23,442,442,14,1
Alabama,01,16778,16778,744,80
Idaho,16,1754,1754,147,14
Montana,30,650,650,128,49
West Virginia,54,0,0,173,0
