state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,18283,18283,737,127
Illinois,17,0,0,2188,0
California,06,0,0,12476,0
Arizona,04,54657,54657,2910,150
Massachusetts,25,18402,18402,1389,0
Wisconsin,55,24885,24885,570,61
Texas,48,0,0,9652,0
Nebraska,31,5896,5896,272,9
Utah,49,13862,13862,391,34
Oregon,41,7971,7971,263,0
Florida,12,75515,75515,5381,152
New York,36,89995,89995,7649,0
Rhode Island,44,8468,8468,288,0
Georgia,13,51842,51842,3740,110
New Hampshire,33,1056,1056,186,2
North Carolina,37,0,0,2378,0
New Jersey,34,61523,61523,2837,71
Colorado,08,22306,22306,527,29
Maryland,24,33065,33065,1402,202
Nevada,32,0,0,983,0
Tennessee,47,17656,17656,1439,14
Hawaii,15,2106,2106,64,0
Indiana,18,41034,41034,1287,63
Kentucky,21,17411,17411,1235,31
Minnesota,27,24745,24745,362,59
Oklahoma,40,22751,22751,917,158
Pennsylvania,42,0,0,2913,0
South Carolina,45,18756,18756,1526,79
District of Columbia,11,0,0,240,0
Kansas,20,8680,8680,526,0
Missouri,29,0,0,1637,0
Vermont,50,0,0,67,0
Virginia,51,22102,22102,2303,67
Connecticut,09,12257,12257,827,0
Iowa,19,0,0,316,0
Louisiana,22,0,0,1166,0
Ohio,39,47538,47538,1978,61
Michigan,26,0,0,1296,0
South Dakota,46,6370,6370,113,11
Arkansas,05,14066,14066,781,17
Delaware,10,0,0,263,0
Mississippi,28,8777,8777,842,0
New Mexico,35,12408,12408,403,16
North Dakota,38,3805,3805,39,4
Wyoming,56,1302,1302,44,-1
Alaska,02,1219,1219,44,0
Maine,23,1442,1442,123,6
Alabama,01,43005,43005,1513,0
Idaho,16,6793,6793,207,8
Montana,30,4353,4353,101,3
West Virginia,54,0,0,381,0
