state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,0,0,0,0
Illinois,17,0,0,0,0
California,06,0,0,1922,0
Arizona,04,616,616,0,34
Massachusetts,25,813,813,0,131
Wisconsin,55,461,461,192,63
Texas,48,0,0,196,0
Nebraska,31,0,0,0,0
Utah,49,100,100,0,9
Oregon,41,154,154,132,0
Florida,12,1123,1123,0,174
New York,36,22786,22786,13383,2857
Rhode Island,44,0,0,72,0
Georgia,13,1056,1056,0,104
New Hampshire,33,58,58,0,2
North Carolina,37,0,0,184,0
New Jersey,34,0,0,2000,0
Colorado,08,710,710,739,90
Maryland,24,582,582,0,60
Nevada,32,0,0,0,0
Tennessee,47,263,263,656,63
Hawaii,15,15,15,0,2
Indiana,18,0,0,0,0
Kentucky,21,0,0,0,0
Minnesota,27,138,138,75,16
Oklahoma,40,257,257,182,38
Pennsylvania,42,730,730,0,110
South Carolina,45,241,241,0,139
District of Columbia,11,0,0,0,0
Kansas,20,138,138,0,24
Missouri,29,0,0,0,0
Vermont,50,45,45,29,0
Virginia,51,208,208,246,43
Connecticut,09,0,0,827,0
Iowa,19,120,120,74,21
Louisiana,22,0,0,1639,0
Ohio,39,802,802,0,123
Michigan,26,0,0,0,0
South Dakota,46,17,17,0,5
Arkansas,05,100,100,66,10
Delaware,10,0,0,56,0
Mississippi,28,360,360,0,28
New Mexico,35,0,0,31,0
North Dakota,38,28,28,0,5
Wyoming,56,19,19,0,1
Alaska,02,16,16,0,1
Maine,23,68,68,0,5
Alabama,01,0,0,226,0
Idaho,16,49,49,49,3
Montana,30,20,20,0,3
West Virginia,54,1,1,0,0
