state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,0,0,527,0
Illinois,17,0,0,3680,0
California,06,0,0,3015,0
Arizona,04,1122,1122,525,48
Massachusetts,25,3485,3485,3485,971
Wisconsin,55,993,993,431,19
Texas,48,0,0,1176,0
Nebraska,31,0,0,0,0
Utah,49,201,201,0,6
Oregon,41,359,359,295,21
Florida,12,2833,2833,0,61
New York,36,52936,52936,18825,2017
Rhode Island,44,331,331,197,331
Georgia,13,2589,2589,0,84
New Hampshire,33,152,152,0,6
North Carolina,37,0,0,313,0
New Jersey,34,0,0,7781,0
Colorado,08,1493,1493,888,76
Maryland,24,1975,1975,0,115
Nevada,32,0,0,0,0
Tennessee,47,579,579,458,12
Hawaii,15,44,44,0,0
Indiana,18,0,0,0,0
Kentucky,21,667,667,289,208
Minnesota,27,361,361,157,0
Oklahoma,40,457,457,383,11
Pennsylvania,42,0,0,2243,0
South Carolina,45,496,496,0,0
District of Columbia,11,0,0,295,0
Kansas,20,309,309,0,11
Missouri,29,0,0,988,0
Vermont,50,0,0,33,0
Virginia,51,872,872,1238,35
Connecticut,09,0,0,1760,0
Iowa,19,0,0,142,0
Louisiana,22,0,0,2134,0
Ohio,39,2033,2033,0,85
Michigan,26,0,0,3986,0
South Dakota,46,44,44,0,1
Arkansas,05,130,130,74,0
Delaware,10,0,0,201,0
Mississippi,28,549,549,0,1
New Mexico,35,181,181,87,181
North Dakota,38,40,40,13,1
Wyoming,56,41,41,0,1
Alaska,02,33,33,0,0
Maine,23,124,124,22,4
Alabama,01,457,457,380,20
Idaho,16,132,132,62,1
Montana,30,47,47,21,0
West Virginia,54,164,164,95,164
