state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,7994,7994,376,23
Illinois,17,0,0,2012,0
California,06,0,0,3020,0
Arizona,04,20640,20640,714,22
Massachusetts,25,13001,13001,483,11
Wisconsin,55,9027,9027,1090,0
Texas,48,0,0,4226,0
Nebraska,31,2650,2650,320,3
Utah,49,4656,4656,307,46
Oregon,41,2886,2886,190,0
Florida,12,47592,47592,2005,79
New York,36,89995,89995,913,0
Rhode Island,44,3050,3050,124,11
Georgia,13,30376,30376,1654,26
New Hampshire,33,761,761,17,0
North Carolina,37,0,0,1129,0
New Jersey,34,24160,24160,732,0
Colorado,08,8227,8227,445,10
Maryland,24,16435,16435,433,83
Nevada,32,0,0,503,0
Tennessee,47,9577,9577,1105,22
Hawaii,15,1001,1001,96,13
Indiana,18,14715,14715,1387,111
Kentucky,21,6592,6592,691,0
Minnesota,27,8866,8866,484,65
Oklahoma,40,7798,7798,792,28
Pennsylvania,42,0,0,841,0
South Carolina,45,9939,9939,716,22
District of Columbia,11,0,0,78,0
Kansas,20,3370,3370,456,0
Missouri,29,0,0,918,0
Vermont,50,0,0,2,0
Virginia,51,11861,11861,972,30
Connecticut,09,12043,12043,184,0
Iowa,19,0,0,475,0
Louisiana,22,0,0,550,0
Ohio,39,17061,17061,1097,52
Michigan,26,0,0,1000,0
South Dakota,46,2119,2119,300,42
Arkansas,05,6315,6315,565,37
Delaware,10,0,0,106,0
Mississippi,28,6237,6237,609,0
New Mexico,35,3940,3940,171,29
North Dakota,38,1253,1253,210,11
Wyoming,56,360,360,51,2
Alaska,02,383,383,73,6
Maine,23,468,468,11,1
Alabama,01,18855,18855,823,0
Idaho,16,2193,2193,221,19
Montana,30,1010,1010,331,9
West Virginia,54,0,0,173,0
