state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,7586,7586,361,13
Illinois,17,0,0,1535,0
California,06,0,0,3079,0
Arizona,04,22280,22280,605,40
Massachusetts,25,12745,12745,416,12
Wisconsin,55,7588,7588,692,82
Texas,48,0,0,3195,0
Nebraska,31,2379,2379,232,23
Utah,49,3956,3956,217,40
Oregon,41,2618,2618,176,5
Florida,12,45151,45151,2037,160
New York,36,89995,89995,647,0
Rhode Island,44,2828,2828,94,28
Georgia,13,28924,28924,1793,133
New Hampshire,33,743,743,17,0
North Carolina,37,0,0,921,0
New Jersey,34,23511,23511,485,0
Colorado,08,7666,7666,296,13
Maryland,24,15670,15670,323,96
Nevada,32,0,0,442,0
Tennessee,47,8859,8859,989,32
Hawaii,15,880,880,125,18
Indiana,18,13068,13068,911,85
Kentucky,21,5362,5362,600,28
Minnesota,27,7846,7846,0,53
Oklahoma,40,6570,6570,655,1
Pennsylvania,42,0,0,573,0
South Carolina,45,9216,9216,686,0
District of Columbia,11,0,0,86,0
Kansas,20,2983,2983,352,0
Missouri,29,0,0,1144,0
Vermont,50,0,0,0,0
Virginia,51,11191,11191,906,51
Connecticut,09,11699,11699,110,0
Iowa,19,0,0,402,0
Louisiana,22,0,0,536,0
Ohio,39,15735,15735,702,47
Michigan,26,0,0,678,0
South Dakota,46,1615,1615,215,27
Arkansas,05,5527,5527,474,39
Delaware,10,0,0,83,0
Mississippi,28,5975,5975,515,0
New Mexico,35,3549,3549,95,15
North Dakota,38,912,912,100,10
Wyoming,56,281,281,32,1
Alaska,02,322,322,39,2
Maine,23,454,454,11,2
Alabama,01,17420,17420,738,0
Idaho,16,1893,1893,152,20
Montana,30,741,741,189,12
West Virginia,54,0,0,171,0
