state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,6679,6679,425,5
Illinois,17,0,0,1563,0
California,06,0,0,5063,0
Arizona,04,21433,21433,812,5
Massachusetts,25,12358,12358,305,24
Wisconsin,55,5775,5775,268,39
Texas,48,0,0,4273,0
Nebraska,31,1982,1982,168,14
Utah,49,3057,3057,139,16
Oregon,41,2108,2108,166,15
Florida,12,38761,38761,3799,287
New York,36,89995,89995,458,0
Rhode Island,44,2514,2514,80,18
Georgia,13,24533,24533,2582,198
New Hampshire,33,714,714,7,1
North Carolina,37,0,0,965,0
New Jersey,34,22617,22617,437,31
Colorado,08,6993,6993,239,48
Maryland,24,14217,14217,387,33
Nevada,32,0,0,675,0
Tennessee,47,6751,6751,1002,0
Hawaii,15,485,485,279,23
Indiana,18,10839,10839,880,21
Kentucky,21,4560,4560,570,28
Minnesota,27,6411,6411,313,54
Oklahoma,40,4794,4794,570,75
Pennsylvania,42,0,0,509,0
South Carolina,45,7765,7765,945,167
District of Columbia,11,0,0,76,0
Kansas,20,2278,2278,328,0
Missouri,29,0,0,976,0
Vermont,50,0,0,10,0
Virginia,51,9512,9512,1101,52
Connecticut,09,11180,11180,60,0
Iowa,19,0,0,315,0
Louisiana,22,0,0,900,0
Ohio,39,13288,13288,791,67
Michigan,26,0,0,669,0
South Dakota,46,1006,1006,79,11
Arkansas,05,4142,4142,407,0
Delaware,10,0,0,61,0
Mississippi,28,5300,5300,819,21
New Mexico,35,3116,3116,67,10
North Dakota,38,551,551,65,1
Wyoming,56,215,215,15,0
Alaska,02,240,240,43,1
Maine,23,418,418,8,1
Alabama,01,14267,14267,986,0
Idaho,16,1349,1349,181,21
Montana,30,429,429,128,12
West Virginia,54,0,0,151,0
