state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,0,0,642,0
Illinois,17,0,0,3680,0
California,06,0,0,2897,0
Arizona,04,995,995,0,45
Massachusetts,25,2435,2435,2435,133
Wisconsin,55,904,904,443,61
Texas,48,0,0,1532,0
Nebraska,31,0,0,0,0
Utah,49,183,183,0,15
Oregon,41,326,326,146,2
Florida,12,2487,2487,0,219
New York,36,45768,45768,18569,2916
Rhode Island,44,0,0,169,0
Georgia,13,2351,2351,0,192
New Hampshire,33,124,124,0,6
North Carolina,37,0,0,423,0
New Jersey,34,0,0,7570,0
Colorado,08,1312,1312,841,91
Maryland,24,1413,1413,0,65
Nevada,32,0,0,282,0
Tennessee,47,536,536,561,31
Hawaii,15,42,42,0,0
Indiana,18,0,0,0,0
Kentucky,21,459,459,271,459
Minnesota,27,317,317,143,24
Oklahoma,40,428,428,186,13
Pennsylvania,42,0,0,2072,0
South Carolina,45,496,496,0,255
District of Columbia,11,0,0,0,0
Kansas,20,274,274,0,11
Missouri,29,0,0,568,0
Vermont,50,0,0,32,0
Virginia,51,685,685,1238,122
Connecticut,09,0,0,1562,0
Iowa,19,0,0,125,0
Louisiana,22,0,0,2054,0
Ohio,39,1755,1755,0,143
Michigan,26,0,0,3823,0
South Dakota,46,29,29,0,2
Arkansas,05,130,130,86,0
Delaware,10,0,0,181,0
Mississippi,28,482,482,0,41
New Mexico,35,0,0,75,0
North Dakota,38,36,36,13,2
Wyoming,56,37,37,0,3
Alaska,02,30,30,0,0
Maine,23,111,111,0,6
Alabama,01,368,368,350,35
Idaho,16,127,127,67,14
Montana,30,41,41,29,5
West Virginia,54,0,0,85,0
