state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,0,0,536,0
Illinois,17,0,0,4672,0
California,06,0,0,4878,0
Arizona,04,1772,1772,647,56
Massachusetts,25,5237,5237,3892,133
Wisconsin,55,1415,1415,335,18
Texas,48,0,0,1563,0
Nebraska,31,0,0,0,0
Utah,49,349,349,0,4
Oregon,41,546,546,249,10
Florida,12,5211,5211,0,56
New York,36,74602,74602,12819,1062
Rhode Island,44,718,718,266,27
Georgia,13,4681,4681,0,322
New Hampshire,33,242,242,101,4
North Carolina,37,0,0,473,0
New Jersey,34,0,0,6407,0
Colorado,08,2485,2485,994,47
Maryland,24,4101,4101,1513,139
Nevada,32,0,0,0,0
Tennessee,47,837,837,618,9
Hawaii,15,68,68,0,0
Indiana,18,0,0,1493,0
Kentucky,21,1274,1274,308,8
Minnesota,27,861,861,292,32
Oklahoma,40,656,656,306,3
Pennsylvania,42,0,0,2800,0
South Carolina,45,944,944,0,0
District of Columbia,11,0,0,402,0
Kansas,20,496,496,0,11
Missouri,29,0,0,679,0
Vermont,50,0,0,33,0
Virginia,51,2014,2014,1455,72
Connecticut,09,0,0,1758,0
Iowa,19,0,0,300,0
Louisiana,22,0,0,1683,0
Ohio,39,3232,3232,0,54
Michigan,26,0,0,2667,0
South Dakota,46,150,150,61,15
Arkansas,05,291,291,109,0
Delaware,10,0,0,325,0
Mississippi,28,1060,1060,590,59
New Mexico,35,481,481,155,69
North Dakota,38,77,77,23,6
Wyoming,56,54,54,16,0
Alaska,02,37,37,10,0
Maine,23,161,161,39,2
Alabama,01,872,872,426,27
Idaho,16,169,169,36,0
Montana,30,61,61,11,0
West Virginia,54,0,0,100,0
