state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,0,0,641,0
Illinois,17,0,0,3680,0
California,06,0,0,2611,0
Arizona,04,853,853,0,34
Massachusetts,25,1831,1831,1831,164
Wisconsin,55,745,745,334,77
Texas,48,0,0,1252,0
Nebraska,31,0,0,0,0
Utah,49,148,148,0,10
Oregon,41,258,258,0,0
Florida,12,1999,1999,0,317
New York,36,36932,36932,17493,2555
Rhode Island,44,0,0,123,0
Georgia,13,1774,1774,0,442
New Hampshire,33,103,103,0,11
North Carolina,37,0,0,354,0
New Jersey,34,0,0,7017,0
Colorado,08,1079,1079,833,85
Maryland,24,1106,1106,0,47
Nevada,32,0,0,282,0
Tennessee,47,408,408,802,56
Hawaii,15,26,26,0,5
Indiana,18,0,0,0,0
Kentucky,21,0,0,0,0
Minnesota,27,242,242,120,19
Oklahoma,40,376,376,186,36
Pennsylvania,42,0,0,1665,-1145
South Carolina,45,241,241,0,0
District of Columbia,11,0,0,0,0
Kansas,20,223,223,0,25
Missouri,29,0,0,508,0
Vermont,50,45,45,29,0
Virginia,51,497,497,0,66
Connecticut,09,0,0,1308,0
Iowa,19,193,193,104,14
Louisiana,22,0,0,1996,0
Ohio,39,1354,1354,0,140
Michigan,26,0,0,0,0
South Dakota,46,23,23,0,0
Arkansas,05,148,148,74,11
Delaware,10,0,0,147,0
Mississippi,28,377,377,0,-98
New Mexico,35,0,0,51,0
North Dakota,38,33,33,18,1
Wyoming,56,33,33,0,10
Alaska,02,26,26,0,1
Maine,23,99,99,0,7
Alabama,01,271,271,302,31
Idaho,16,83,83,67,6
Montana,30,28,28,0,4
West Virginia,54,0,0,0,0
