state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,8280,8280,389,0
Illinois,17,0,0,2638,0
California,06,0,0,2991,0
Arizona,04,21097,21097,837,11
Massachusetts,25,13160,13160,550,18
Wisconsin,55,10416,10416,1350,84
Texas,48,0,0,5278,0
Nebraska,31,2846,2846,435,13
Utah,49,5102,5102,311,53
Oregon,41,3034,3034,197,0
Florida,12,48842,48842,2258,76
New York,36,89995,89995,1059,0
Rhode Island,44,3208,3208,163,0
Georgia,13,31087,31087,1740,19
New Hampshire,33,768,768,25,2
North Carolina,37,0,0,1193,0
New Jersey,34,37310,37310,948,23
Colorado,08,8658,8658,591,36
Maryland,24,16819,16819,456,62
Nevada,32,0,0,531,0
Tennessee,47,9985,9985,1228,44
Hawaii,15,1065,1065,64,0
Indiana,18,15905,15905,1634,138
Kentucky,21,6895,6895,858,30
Minnesota,27,9588,9588,614,77
Oklahoma,40,8408,8408,924,22
Pennsylvania,42,0,0,1138,0
South Carolina,45,10236,10236,737,12
District of Columbia,11,0,0,98,0
Kansas,20,3646,3646,362,62
Missouri,29,0,0,1399,0
Vermont,50,0,0,11,0
Virginia,51,12260,12260,1048,27
Connecticut,09,12257,12257,270,0
Iowa,19,0,0,561,0
Louisiana,22,0,0,609,0
Ohio,39,18235,18235,1406,140
Michigan,26,0,0,1332,0
South Dakota,46,2453,2453,377,17
Arkansas,05,6768,6768,634,50
Delaware,10,0,0,108,0
Mississippi,28,6576,6576,679,196
New Mexico,35,4321,4321,289,44
North Dakota,38,1437,1437,256,20
Wyoming,56,401,401,102,7
Alaska,02,424,424,50,3
Maine,23,477,477,13,2
Alabama,01,19974,19974,967,379
Idaho,16,2431,2431,272,22
Montana,30,1237,1237,360,8
West Virginia,54,0,0,215,0
