state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,6860,6860,384,18
Illinois,17,0,0,1484,0
California,06,0,0,4285,0
Arizona,04,21525,21525,658,-2
Massachusetts,25,12357,12357,322,7
Wisconsin,55,6089,6089,289,19
Texas,48,0,0,3537,0
Nebraska,31,2068,2068,175,3
Utah,49,3225,3225,152,18
Oregon,41,2161,2161,147,0
Florida,12,40547,40547,3157,60
New York,36,89995,89995,413,0
Rhode Island,44,2589,2589,73,2
Georgia,13,25538,25538,2214,15
New Hampshire,33,718,718,7,0
North Carolina,37,0,0,765,0
New Jersey,34,22802,22802,389,6
Colorado,08,7142,7142,237,4
Maryland,24,14603,14603,362,30
Nevada,32,0,0,597,0
Tennessee,47,7312,7312,953,16
Hawaii,15,597,597,265,5
Indiana,18,11410,11410,771,45
Kentucky,21,4728,4728,503,15
Minnesota,27,6743,6743,275,24
Oklahoma,40,5113,5113,472,8
Pennsylvania,42,0,0,496,0
South Carolina,45,8171,8171,787,27
District of Columbia,11,0,0,85,0
Kansas,20,2441,2441,177,26
Missouri,29,0,0,934,0
Vermont,50,0,0,2,0
Virginia,51,9902,9902,1061,21
Connecticut,09,11275,11275,58,0
Iowa,19,0,0,311,0
Louisiana,22,0,0,787,0
Ohio,39,13887,13887,686,46
Michigan,26,0,0,616,0
South Dakota,46,1084,1084,78,5
Arkansas,05,4486,4486,399,24
Delaware,10,0,0,53,0
Mississippi,28,5326,5326,758,0
New Mexico,35,3195,3195,65,9
North Dakota,38,602,602,68,4
Wyoming,56,219,219,15,0
Alaska,02,260,260,36,4
Maine,23,427,427,8,3
Alabama,01,14914,14914,858,0
Idaho,16,1466,1466,151,0
Montana,30,498,498,163,12
West Virginia,54,0,0,149,0
