state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,8675,8675,480,41
Illinois,17,0,0,3761,0
California,06,0,0,3410,0
Arizona,04,21786,21786,1065,160
Massachusetts,25,13299,13299,502,0
Wisconsin,55,12087,12087,1747,243
Texas,48,0,0,5872,0
Nebraska,31,3122,3122,673,46
Utah,49,5755,5755,401,90
Oregon,41,3278,3278,237,27
Florida,12,50479,50479,2489,181
New York,36,89995,89995,1253,0
Rhode Island,44,3432,3432,169,26
Georgia,13,32042,32042,1782,149
New Hampshire,33,787,787,42,3
North Carolina,37,0,0,1186,0
New Jersey,34,37958,37958,1213,87
Colorado,08,9618,9618,970,438
Maryland,24,17363,17363,595,51
Nevada,32,0,0,696,0
Tennessee,47,10484,10484,1716,77
Hawaii,15,1124,1124,57,13
Indiana,18,17613,17613,1897,229
Kentucky,21,7447,7447,1066,103
Minnesota,27,10849,10849,908,202
Oklahoma,40,9219,9219,1026,115
Pennsylvania,42,0,0,1531,0
South Carolina,45,10656,10656,783,57
District of Columbia,11,0,0,92,0
Kansas,20,3984,3984,567,91
Missouri,29,0,0,1632,0
Vermont,50,0,0,8,0
Virginia,51,12797,12797,1041,58
Connecticut,09,12257,12257,374,0
Iowa,19,0,0,777,0
Louisiana,22,0,0,623,0
Ohio,39,19801,19801,1982,186
Michigan,26,0,0,2215,0
South Dakota,46,2873,2873,483,49
Arkansas,05,7273,7273,627,79
Delaware,10,0,0,114,0
Mississippi,28,6728,6728,689,0
New Mexico,35,4896,4896,393,59
North Dakota,38,1738,1738,352,36
Wyoming,56,481,481,138,10
Alaska,02,476,476,95,4
Maine,23,507,507,36,5
Alabama,01,21027,21027,1017,126
Idaho,16,2691,2691,155,48
Montana,30,1402,1402,407,18
West Virginia,54,0,0,269,0
