state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,5744,5744,518,52
Illinois,17,0,0,1496,0
California,06,0,0,7630,0
Arizona,04,13294,13294,2024,1894
Massachusetts,25,11973,11973,354,31
Wisconsin,55,4783,4783,327,51
Texas,48,0,0,8674,0
Nebraska,31,1644,1644,152,14
Utah,49,2482,2482,220,32
Oregon,41,1655,1655,215,48
Florida,12,28333,28333,7857,589
New York,36,89995,89995,568,0
Rhode Island,44,2242,2242,80,11
Georgia,13,19426,19426,3094,302
New Hampshire,33,697,697,23,1
North Carolina,37,0,0,1166,0
New Jersey,34,21565,21565,470,0
Colorado,08,6516,6516,335,29
Maryland,24,12888,12888,547,56
Nevada,32,0,0,1146,0
Tennessee,47,4900,4900,1433,92
Hawaii,15,201,201,138,2
Indiana,18,9148,9148,980,144
Kentucky,21,3851,3851,638,36
Minnesota,27,5346,5346,328,48
Oklahoma,40,3375,3375,504,100
Pennsylvania,42,0,0,656,0
South Carolina,45,5799,5799,1458,272
District of Columbia,11,0,0,100,0
Kansas,20,1782,1782,232,0
Missouri,29,0,0,891,0
Vermont,50,0,0,14,0
Virginia,51,8085,8085,1255,67
Connecticut,09,10807,10807,60,0
Iowa,19,0,0,243,0
Louisiana,22,0,0,1487,0
Ohio,39,11119,11119,1038,127
Michigan,26,0,0,694,0
South Dakota,46,846,846,42,8
Arkansas,05,3054,3054,526,88
Delaware,10,0,0,42,0
Mississippi,28,4424,4424,1164,44
New Mexico,35,2753,2753,133,23
North Dakota,38,389,389,51,10
Wyoming,56,169,169,17,2
Alaska,02,158,158,33,2
Maine,23,388,388,12,-1
Alabama,01,11100,11100,1572,235
Idaho,16,886,886,106,12
Montana,30,238,238,70,2
West Virginia,54,0,0,111,0
