state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,5161,5161,546,59
Illinois,17,0,0,1456,0
California,06,0,0,8820,0
Arizona,04,7047,7047,3094,153
Massachusetts,25,11761,11761,532,15
Wisconsin,55,4225,4225,167,31
Texas,48,0,0,10893,0
Nebraska,31,1508,1508,118,6
Utah,49,2135,2135,234,26
Oregon,41,1406,1406,237,19
Florida,12,22588,22588,9475,465
New York,36,89995,89995,714,0
Rhode Island,44,2127,2127,67,11
Georgia,13,15922,15922,3179,428
New Hampshire,33,677,677,23,4
North Carolina,37,0,0,1137,0
New Jersey,34,21184,21184,873,85
Colorado,08,6133,6133,351,23
Maryland,24,11997,11997,505,48
Nevada,32,0,0,1102,0
Tennessee,47,3907,3907,1451,109
Hawaii,15,151,151,47,1
Indiana,18,8020,8020,869,79
Kentucky,21,2914,2914,603,14
Minnesota,27,4771,4771,273,48
Oklahoma,40,2540,2540,630,137
Pennsylvania,42,0,0,735,0
South Carolina,45,4498,4498,1607,0
District of Columbia,11,0,0,81,0
Kansas,20,1545,1545,0,48
Missouri,29,0,0,875,0
Vermont,50,0,0,14,0
Virginia,51,7351,7351,1157,84
Connecticut,09,10654,10654,63,0
Iowa,19,0,0,224,0
Louisiana,22,0,0,1581,0
Ohio,39,9864,9864,1098,128
Michigan,26,0,0,680,0
South Dakota,46,790,790,56,14
Arkansas,05,2317,2317,474,60
Delaware,10,0,0,61,0
Mississippi,28,3844,3844,1165,47
New Mexico,35,2470,2470,178,37
North Dakota,38,317,317,52,8
Wyoming,56,152,152,13,6
Alaska,02,118,118,34,5
Maine,23,377,377,10,0
Alabama,01,8538,8538,1468,0
Idaho,16,656,656,188,35
Montana,30,179,179,52,5
West Virginia,54,0,0,78,0
