state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,0,0,581,0
Illinois,17,0,0,0,0
California,06,0,0,2398,0
Arizona,04,760,760,0,49
Massachusetts,25,1632,1632,1632,262
Wisconsin,55,624,624,294,36
Texas,48,0,0,827,0
Nebraska,31,0,0,0,0
Utah,49,124,124,0,7
Oregon,41,239,239,0,35
Florida,12,1572,1572,0,110
New York,36,32293,32293,16479,2822
Rhode Island,44,0,0,103,0
Georgia,13,1283,1283,0,44
New Hampshire,33,86,86,0,6
North Carolina,37,0,0,261,0
New Jersey,34,0,0,4000,0
Colorado,08,924,924,786,49
Maryland,24,936,936,0,115
Nevada,32,0,0,0,0
Tennessee,47,328,328,637,17
Hawaii,15,19,19,0,1
Indiana,18,0,0,0,0
Kentucky,21,0,0,0,0
Minnesota,27,202,202,106,22
Oklahoma,40,330,330,0,14
Pennsylvania,42,1072,1072,0,68
South Carolina,45,241,241,0,0
District of Columbia,11,0,0,0,0
Kansas,20,183,183,0,11
Missouri,29,0,0,424,0
Vermont,50,45,45,29,0
Virginia,51,390,390,0,78
Connecticut,09,0,0,1142,0
Iowa,19,165,165,91,12
Louisiana,22,0,0,1803,0
Ohio,39,1104,1104,0,98
Michigan,26,0,0,0,0
South Dakota,46,22,22,0,3
Arkansas,05,130,130,67,24
Delaware,10,0,0,101,0
Mississippi,28,475,475,0,39
New Mexico,35,0,0,45,0
North Dakota,38,31,31,20,1
Wyoming,56,23,23,0,0
Alaska,02,21,21,0,4
Maine,23,86,86,0,3
Alabama,01,231,231,282,19
Idaho,16,66,66,51,4
Montana,30,24,24,0,0
West Virginia,54,0,0,0,0
