state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,7215,7215,379,19
Illinois,17,0,0,1481,0
California,06,0,0,3570,0
Arizona,04,21865,21865,516,44
Massachusetts,25,12514,12514,338,18
Wisconsin,55,6569,6569,342,47
Texas,48,0,0,3172,0
Nebraska,31,2181,2181,188,9
Utah,49,3444,3444,184,43
Oregon,41,2341,2341,144,22
Florida,12,42715,42715,2383,190
New York,36,89995,89995,478,0
Rhode Island,44,2675,2675,85,7
Georgia,13,27203,27203,1975,149
New Hampshire,33,725,725,7,0
North Carolina,37,0,0,904,0
New Jersey,34,23096,23096,413,25
Colorado,08,7347,7347,230,20
Maryland,24,15070,15070,347,62
Nevada,32,0,0,461,0
Tennessee,47,8063,8063,871,84
Hawaii,15,685,685,197,18
Indiana,18,12035,12035,804,53
Kentucky,21,5002,5002,500,26
Minnesota,27,7091,7091,250,41
Oklahoma,40,5755,5755,516,57
Pennsylvania,42,0,0,521,0
South Carolina,45,8669,8669,798,58
District of Columbia,11,0,0,91,0
Kansas,20,2671,2671,286,55
Missouri,29,0,0,1025,0
Vermont,50,0,0,6,0
Virginia,51,10520,10520,945,56
Connecticut,09,11447,11447,77,0
Iowa,19,0,0,281,0
Louisiana,22,0,0,647,0
Ohio,39,14687,14687,634,62
Michigan,26,0,0,557,0
South Dakota,46,1246,1246,144,15
Arkansas,05,4932,4932,381,36
Delaware,10,0,0,58,0
Mississippi,28,5499,5499,630,0
New Mexico,35,3320,3320,72,7
North Dakota,38,705,705,77,14
Wyoming,56,240,240,16,4
Alaska,02,283,283,36,3
Maine,23,437,437,11,1
Alabama,01,16227,16227,744,148
Idaho,16,1682,1682,123,24
Montana,30,555,555,105,6
West Virginia,54,0,0,175,0
