state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,19319,19319,498,44
Illinois,17,0,0,1265,0
California,06,0,0,5674,0
Arizona,04,57599,57599,1251,91
Massachusetts,25,19444,19444,760,0
Wisconsin,55,26127,26127,290,39
Texas,48,0,0,5696,0
Nebraska,31,6102,6102,151,3
Utah,49,14695,14695,230,31
Oregon,41,8570,8570,177,0
Florida,12,80572,80572,3679,105
New York,36,89995,89995,5259,0
Rhode Island,44,8900,8900,168,0
Georgia,13,56039,56039,2341,76
New Hampshire,33,1118,1118,87,4
North Carolina,37,0,0,1414,0
New Jersey,34,63713,63713,1849,49
Colorado,08,23476,23476,404,17
Maryland,24,35000,35000,868,73
Nevada,32,0,0,491,0
Tennessee,47,18605,18605,1004,19
Hawaii,15,2214,2214,30,0
Indiana,18,42775,42775,778,39
Kentucky,21,19101,19101,732,11
Minnesota,27,25719,25719,263,5
Oklahoma,40,23985,23985,484,76
Pennsylvania,42,0,0,1720,0
South Carolina,45,20387,20387,769,47
District of Columbia,11,0,0,163,0
Kansas,20,9249,9249,258,0
Missouri,29,0,0,1172,0
Vermont,50,0,0,26,0
Virginia,51,24115,24115,1323,24
Connecticut,09,12257,12257,451,0
Iowa,19,0,0,196,0
Louisiana,22,0,0,630,0
Ohio,39,50279,50279,1149,82
Michigan,26,0,0,841,0
South Dakota,46,6626,6626,89,16
Arkansas,05,14763,14763,455,0
Delaware,10,0,0,142,0
Mississippi,28,9012,9012,492,0
New Mexico,35,13108,13108,192,11
North Dakota,38,3867,3867,21,1
Wyoming,56,1382,1382,25,1
Alaska,02,1277,1277,43,0
Maine,23,1527,1527,72,2
Alabama,01,45428,45428,657,0
Idaho,16,7076,7076,162,11
Montana,30,4581,4581,68,2
West Virginia,54,0,0,239,0
