state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,0,0,504,0
Illinois,17,0,0,3914,0
California,06,0,0,4681,0
Arizona,04,2836,2836,810,36
Massachusetts,25,8897,8897,2518,131
Wisconsin,55,2161,2161,393,51
Texas,48,0,0,1791,0
Nebraska,31,0,0,0,0
Utah,49,631,631,144,12
Oregon,41,714,714,137,6
Florida,12,8934,8934,0,190
New York,36,87459,87459,5570,290
Rhode Island,44,1486,1486,257,22
Georgia,13,7107,7107,959,80
New Hampshire,33,383,383,105,15
North Carolina,37,0,0,554,0
New Jersey,34,0,0,3405,0
Colorado,08,3990,3990,613,35
Maryland,24,7393,7393,1410,194
Nevada,32,0,0,437,0
Tennessee,47,1515,1515,652,17
Hawaii,15,82,82,0,0
Indiana,18,4389,4389,1288,0
Kentucky,21,2010,2010,443,30
Minnesota,27,2308,2308,550,87
Oklahoma,40,905,905,209,8
Pennsylvania,42,0,0,1818,0
South Carolina,45,1444,1444,0,0
District of Columbia,11,0,0,336,0
Kansas,20,760,760,0,20
Missouri,29,0,0,546,0
Vermont,50,0,0,15,0
Virginia,51,3979,3979,1536,75
Connecticut,09,10946,10946,887,0
Iowa,19,0,0,381,0
Louisiana,22,0,0,931,0
Ohio,39,5198,5198,902,81
Michigan,26,0,0,1066,0
South Dakota,46,333,333,81,6
Arkansas,05,535,535,78,0
Delaware,10,0,0,220,0
Mississippi,28,1901,1901,644,61
New Mexico,35,1139,1139,206,253
North Dakota,38,142,142,38,7
Wyoming,56,74,74,9,1
Alaska,02,46,46,16,0
Maine,23,231,231,43,6
Alabama,01,1493,1493,560,40
Idaho,16,215,215,28,2
Montana,30,65,65,3,0
West Virginia,54,0,0,58,0
