state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,6358,6358,481,62
Illinois,17,0,0,1519,0
California,06,0,0,6479,0
Arizona,04,21020,21020,1160,142
Massachusetts,25,12213,12213,365,21
Wisconsin,55,5430,5430,388,50
Texas,48,0,0,5974,0
Nebraska,31,1835,1835,160,-48
Utah,49,2832,2832,158,28
Oregon,41,1929,1929,214,16
Florida,12,35620,35620,5298,508
New York,36,89995,89995,548,0
Rhode Island,44,2419,2419,82,14
Georgia,13,22664,22664,2573,235
New Hampshire,33,712,712,12,0
North Carolina,37,0,0,1001,0
New Jersey,34,22311,22311,471,52
Colorado,08,6784,6784,238,3
Maryland,24,13744,13744,475,46
Nevada,32,0,0,867,0
Tennessee,47,6069,6069,1230,88
Hawaii,15,303,303,205,15
Indiana,18,10090,10090,842,53
Kentucky,21,4301,4301,640,49
Minnesota,27,5988,5988,321,56
Oklahoma,40,4192,4192,566,77
Pennsylvania,42,0,0,548,0
South Carolina,45,7146,7146,1168,0
District of Columbia,11,0,0,84,0
Kansas,20,2090,2090,300,56
Missouri,29,0,0,875,0
Vermont,50,0,0,12,0
Virginia,51,8925,8925,1243,76
Connecticut,09,11015,11015,49,0
Iowa,19,0,0,299,0
Louisiana,22,0,0,1160,0
Ohio,39,12529,12529,894,93
Michigan,26,0,0,653,0
South Dakota,46,935,935,55,8
Arkansas,05,3743,3743,499,48
Delaware,10,0,0,32,0
Mississippi,28,5063,5063,1073,38
New Mexico,35,3002,3002,94,4
North Dakota,38,478,478,49,9
Wyoming,56,197,197,12,4
Alaska,02,214,214,56,6
Maine,23,403,403,9,2
Alabama,01,13080,13080,1198,122
Idaho,16,1170,1170,167,41
Montana,30,348,348,102,9
West Virginia,54,0,0,133,0
