state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,0,0,0,0
Illinois,17,0,0,0,0
California,06,0,0,746,0
Arizona,04,343,343,0,40
Massachusetts,25,219,219,0,0
Wisconsin,55,0,0,0,0
Texas,48,0,0,0,0
Nebraska,31,0,0,0,0
Utah,49,0,0,0,0
Oregon,41,90,90,0,29
Florida,12,456,456,0,50
New York,36,8732,8732,6481,1811
Rhode Island,44,0,0,28,0
Georgia,13,566,566,0,93
New Hampshire,33,25,25,0,6
North Carolina,37,0,0,77,0
New Jersey,34,0,0,2000,0
Colorado,08,239,239,307,55
Maryland,24,173,173,0,41
Nevada,32,0,0,0,0
Tennessee,47,103,103,0,27
Hawaii,15,7,7,0,2
Indiana,18,0,0,0,0
Kentucky,21,0,0,0,0
Minnesota,27,51,51,34,10
Oklahoma,40,105,105,0,19
Pennsylvania,42,241,241,0,241
South Carolina,45,102,102,0,0
District of Columbia,11,0,0,0,0
Kansas,20,27,27,0,27
Missouri,29,0,0,0,0
Vermont,50,18,18,0,18
Virginia,51,65,65,0,6
Connecticut,09,0,0,173,0
Iowa,19,50,50,32,4
Louisiana,22,0,0,773,0
Ohio,39,276,276,0,53
Michigan,26,0,0,0,0
South Dakota,46,0,0,0,0
Arkansas,05,0,0,48,0
Delaware,10,0,0,15,0
Mississippi,28,185,185,0,35
New Mexico,35,0,0,17,0
North Dakota,38,13,13,0,3
Wyoming,56,11,11,0,11
Alaska,02,6,6,0,2
Maine,23,0,0,0,0
Alabama,01,0,0,112,0
Idaho,16,0,0,31,0
Montana,30,7,7,0,6
West Virginia,54,1,1,0,0
