state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,19033,19033,608,64
Illinois,17,0,0,1468,0
California,06,0,0,7313,0
Arizona,04,56946,56946,1598,74
Massachusetts,25,19176,19176,927,0
Wisconsin,55,25743,25743,353,27
Texas,48,0,0,7146,0
Nebraska,31,6034,6034,163,2
Utah,49,14445,14445,263,24
Oregon,41,8403,8403,206,0
Florida,12,78946,78946,4160,106
New York,36,89995,89995,5764,0
Rhode Island,44,8870,8870,177,0
Georgia,13,54753,54753,2778,106
New Hampshire,33,1093,1093,109,1
North Carolina,37,0,0,1647,0
New Jersey,34,63108,63108,2065,46
Colorado,08,23169,23169,440,13
Maryland,24,34439,34439,973,84
Nevada,32,0,0,639,0
Tennessee,47,18284,18284,1128,17
Hawaii,15,2182,2182,42,0
Indiana,18,42445,42445,870,67
Kentucky,21,18601,18601,902,46
Minnesota,27,25455,25455,282,29
Oklahoma,40,23667,23667,620,61
Pennsylvania,42,0,0,1959,0
South Carolina,45,19966,19966,1013,67
District of Columbia,11,0,0,196,0
Kansas,20,9071,9071,290,0
Missouri,29,0,0,1234,0
Vermont,50,0,0,39,0
Virginia,51,23481,23481,1548,45
Connecticut,09,12257,12257,535,0
Iowa,19,0,0,229,0
Louisiana,22,0,0,756,0
Ohio,39,49372,49372,1434,55
Michigan,26,0,0,860,0
South Dakota,46,6524,6524,90,15
Arkansas,05,14540,14540,577,14
Delaware,10,0,0,175,0
Mississippi,28,8978,8978,563,0
New Mexico,35,12916,12916,242,15
North Dakota,38,3857,3857,40,1
Wyoming,56,1369,1369,31,2
Alaska,02,1243,1243,34,0
Maine,23,1506,1506,75,1
Alabama,01,44767,44767,867,0
Idaho,16,6983,6983,142,10
Montana,30,4522,4522,78,5
West Virginia,54,0,0,289,0
