state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,4106,4106,372,13
Illinois,17,0,0,1516,0
California,06,0,0,5639,0
Arizona,04,4514,4514,2110,108
Massachusetts,25,11291,11291,791,39
Wisconsin,55,3351,3351,262,25
Texas,48,0,0,5102,0
Nebraska,31,1294,1294,126,26
Utah,49,1321,1321,238,31
Oregon,41,1012,1012,189,6
Florida,12,14281,14281,0,213
New York,36,89995,89995,951,0
Rhode Island,44,1984,1984,91,3
Georgia,13,10605,10605,1184,148
New Hampshire,33,561,561,32,3
North Carolina,37,0,0,892,0
New Jersey,34,19752,19752,1118,84
Colorado,08,5392,5392,226,6
Maryland,24,10725,10725,487,42
Nevada,32,0,0,471,0
Tennessee,47,2498,2498,741,67
Hawaii,15,109,109,0,4
Indiana,18,6944,6944,692,32
Kentucky,21,2589,2589,387,5
Minnesota,27,3966,3966,335,23
Oklahoma,40,1393,1393,308,57
Pennsylvania,42,0,0,661,0
South Carolina,45,2622,2622,906,245
District of Columbia,11,0,0,147,0
Kansas,20,1128,1128,0,46
Missouri,29,0,0,600,0
Vermont,50,0,0,14,0
Virginia,51,6071,6071,854,76
Connecticut,09,10268,10268,127,0
Iowa,19,0,0,141,0
Louisiana,22,0,0,700,0
Ohio,39,7570,7570,624,68
Michigan,26,0,0,557,0
South Dakota,46,639,639,79,7
Arkansas,05,1300,1300,284,55
Delaware,10,0,0,78,0
Mississippi,28,3044,3044,769,46
New Mexico,35,1828,1828,128,17
North Dakota,38,222,222,23,0
Wyoming,56,112,112,5,1
Alaska,02,67,67,12,0
Maine,23,343,343,28,0
Alabama,01,2653,2653,668,41
Idaho,16,303,303,48,3
Montana,30,95,95,14,2
West Virginia,54,0,0,33,0
