state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,4402,4402,430,41
Illinois,17,0,0,1651,0
California,06,0,0,6812,0
Arizona,04,4916,4916,2938,79
Massachusetts,25,11392,11392,681,40
Wisconsin,55,3519,3519,236,37
Texas,48,0,0,7382,0
Nebraska,31,1343,1343,117,13
Utah,49,1505,1505,229,29
Oregon,41,1055,1055,192,17
Florida,12,15454,15454,0,329
New York,36,89995,89995,878,0
Rhode Island,44,2011,2011,67,4
Georgia,13,11500,11500,1649,225
New Hampshire,33,565,565,32,0
North Carolina,37,0,0,912,0
New Jersey,34,20141,20141,1027,87
Colorado,08,5527,5527,270,14
Maryland,24,10939,10939,441,37
Nevada,32,0,0,662,0
Tennessee,47,2775,2775,949,60
Hawaii,15,116,116,0,3
Indiana,18,7139,7139,644,44
Kentucky,21,2662,2662,430,27
Minnesota,27,4112,4112,274,31
Oklahoma,40,1615,1615,368,62
Pennsylvania,42,0,0,631,0
South Carolina,45,2854,2854,1125,0
District of Columbia,11,0,0,120,0
Kansas,20,1195,1195,0,43
Missouri,29,0,0,716,0
Vermont,50,0,0,21,0
Virginia,51,6333,6333,888,71
Connecticut,09,10411,10411,101,143
Iowa,19,0,0,145,0
Louisiana,22,0,0,840,0
Ohio,39,8038,8038,724,127
Michigan,26,0,0,548,0
South Dakota,46,683,683,64,9
Arkansas,05,1477,1477,272,29
Delaware,10,0,0,67,0
Mississippi,28,3208,3208,863,31
New Mexico,35,1945,1945,127,17
North Dakota,38,234,234,19,0
Wyoming,56,119,119,9,2
Alaska,02,68,68,18,0
Maine,23,354,354,30,3
Alabama,01,2835,2835,843,32
Idaho,16,340,340,69,10
Montana,30,106,106,14,1
West Virginia,54,0,0,23,0
