state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,3517,3517,473,16
Illinois,17,0,0,3238,0
California,06,0,0,4393,0
Arizona,04,3520,3520,1009,75
Massachusetts,25,10063,10063,1657,111
Wisconsin,55,2643,2643,388,40
Texas,48,0,0,1773,0
Nebraska,31,0,0,0,0
Utah,49,801,801,159,12
Oregon,41,790,790,108,4
Florida,12,10678,10678,0,184
New York,36,89861,89861,3121,158
Rhode Island,44,1743,1743,188,19
Georgia,13,8334,8334,828,207
New Hampshire,33,456,456,98,5
North Carolina,37,0,0,716,0
New Jersey,34,17390,17390,2370,168
Colorado,08,4419,4419,388,47
Maryland,24,8957,8957,1148,71
Nevada,32,0,0,365,0
Tennessee,47,1792,1792,565,25
Hawaii,15,83,83,0,0
Indiana,18,5902,5902,961,42
Kentucky,21,2307,2307,481,33
Minnesota,27,3134,3134,537,48
Oklahoma,40,994,994,124,8
Pennsylvania,42,0,0,1302,0
South Carolina,45,1789,1789,425,155
District of Columbia,11,0,0,295,0
Kansas,20,862,862,0,20
Missouri,29,0,0,693,0
Vermont,50,0,0,10,0
Virginia,51,4770,4770,1362,76
Connecticut,09,13793,13793,434,0
Iowa,19,0,0,327,0
Louisiana,22,0,0,639,0
Ohio,39,6176,6176,697,64
Michigan,26,0,0,674,0
South Dakota,46,443,443,89,8
Arkansas,05,718,718,121,7
Delaware,10,0,0,157,0
Mississippi,28,2296,2296,584,0
New Mexico,35,1416,1416,182,99
North Dakota,38,170,170,34,1
Wyoming,56,86,86,7,0
Alaska,02,51,51,10,1
Maine,23,287,287,48,3
Alabama,01,1879,1879,606,23
Idaho,16,247,247,34,5
Montana,30,67,67,1,0
West Virginia,54,0,0,31,0
