state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,5474,5474,509,77
Illinois,17,0,0,1491,0
California,06,0,0,8439,0
Arizona,04,10060,10060,2424,666
Massachusetts,25,11876,11876,390,21
Wisconsin,55,4539,4539,271,46
Texas,48,0,0,9595,0
Nebraska,31,1606,1606,122,19
Utah,49,2324,2324,232,29
Oregon,41,1537,1537,230,23
Florida,12,25867,25867,8720,587
New York,36,89995,89995,619,0
Rhode Island,44,2195,2195,74,13
Georgia,13,17964,17964,3188,420
New Hampshire,33,690,690,21,0
North Carolina,37,0,0,1291,0
New Jersey,34,21321,21321,761,0
Colorado,08,6398,6398,341,79
Maryland,24,12448,12448,571,59
Nevada,32,0,0,1110,0
Tennessee,47,4482,4482,1417,202
Hawaii,15,167,167,47,2
Indiana,18,8587,8587,837,82
Kentucky,21,3281,3281,571,2
Minnesota,27,5077,5077,310,49
Oklahoma,40,3041,3041,663,54
Pennsylvania,42,0,0,756,0
South Carolina,45,5117,5117,1596,0
District of Columbia,11,0,0,83,0
Kansas,20,1700,1700,393,56
Missouri,29,0,0,797,0
Vermont,50,0,0,18,0
Virginia,51,7738,7738,1350,52
Connecticut,09,10712,10712,53,0
Iowa,19,0,0,246,0
Louisiana,22,0,0,1544,0
Ohio,39,10553,10553,1100,128
Michigan,26,0,0,670,0
South Dakota,46,810,810,46,2
Arkansas,05,2747,2747,508,61
Delaware,10,0,0,68,0
Mississippi,28,4152,4152,1211,49
New Mexico,35,2643,2643,158,29
North Dakota,38,351,351,39,8
Wyoming,56,165,165,16,3
Alaska,02,145,145,45,2
Maine,23,385,385,11,1
Alabama,01,9893,9893,1605,0
Idaho,16,783,783,209,33
Montana,30,211,211,59,6
West Virginia,54,0,0,98,0
