state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,6230,6230,504,24
Illinois,17,0,0,1581,0
California,06,0,0,6309,0
Arizona,04,20755,20755,1208,-40
Massachusetts,25,12173,12173,372,3
Wisconsin,55,5304,5304,347,29
Texas,48,0,0,6267,0
Nebraska,31,1883,1883,144,3
Utah,49,2771,2771,204,11
Oregon,41,1863,1863,224,0
Florida,12,34341,34341,5690,267
New York,36,89995,89995,527,0
Rhode Island,44,2380,2380,80,5
Georgia,13,22087,22087,2603,59
New Hampshire,33,708,708,13,2
North Carolina,37,0,0,934,0
New Jersey,34,22206,22206,450,9
Colorado,08,6735,6735,240,8
Maryland,24,13614,13614,475,58
Nevada,32,0,0,941,0
Tennessee,47,5847,5847,1148,34
Hawaii,15,279,279,143,2
Indiana,18,9935,9935,944,63
Kentucky,21,4193,4193,618,0
Minnesota,27,5851,5851,290,29
Oklahoma,40,4013,4013,506,15
Pennsylvania,42,0,0,559,0
South Carolina,45,6852,6852,1161,0
District of Columbia,11,0,0,79,0
Kansas,20,2020,2020,311,0
Missouri,29,0,0,889,0
Vermont,50,0,0,17,0
Virginia,51,8737,8737,1184,36
Connecticut,09,11015,11015,56,0
Iowa,19,0,0,271,0
Louisiana,22,0,0,1196,0
Ohio,39,12236,12236,910,26
Michigan,26,0,0,713,0
South Dakota,46,916,916,66,3
Arkansas,05,3570,3570,478,8
Delaware,10,0,0,30,0
Mississippi,28,4916,4916,1126,0
New Mexico,35,2965,2965,109,8
North Dakota,38,459,459,54,2
Wyoming,56,191,191,13,0
Alaska,02,203,203,42,6
Maine,23,400,400,9,1
Alabama,01,12607,12607,1289,0
Idaho,16,1103,1103,206,12
Montana,30,326,326,90,2
West Virginia,54,0,0,130,0
