state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,5874,5874,505,34
Illinois,17,0,0,1486,0
California,06,0,0,7277,0
Arizona,04,19241,19241,1772,5173
Massachusetts,25,12022,12022,390,15
Wisconsin,55,4930,4930,350,49
Texas,48,0,0,8065,0
Nebraska,31,1688,1688,151,7
Utah,49,2578,2578,234,24
Oregon,41,1743,1743,230,17
Florida,12,30114,30114,7144,599
New York,36,89995,89995,579,0
Rhode Island,44,2276,2276,84,12
Georgia,13,20282,20282,2981,280
New Hampshire,33,699,699,21,1
North Carolina,37,0,0,1123,0
New Jersey,34,21949,21949,551,384
Colorado,08,6582,6582,317,10
Maryland,24,13047,13047,528,69
Nevada,32,0,0,1035,0
Tennessee,47,5190,5190,1406,81
Hawaii,15,225,225,117,11
Indiana,18,9354,9354,990,87
Kentucky,21,3975,3975,717,51
Minnesota,27,5458,5458,300,37
Oklahoma,40,3555,3555,561,58
Pennsylvania,42,0,0,651,0
South Carolina,45,6153,6153,1415,354
District of Columbia,11,0,0,90,0
Kansas,20,1875,1875,333,54
Missouri,29,0,0,930,0
Vermont,50,0,0,6,0
Virginia,51,8281,8281,1372,98
Connecticut,09,10920,10920,65,0
Iowa,19,0,0,223,0
Louisiana,22,0,0,1406,0
Ohio,39,11447,11447,956,81
Michigan,26,0,0,694,0
South Dakota,46,866,866,47,5
Arkansas,05,3168,3168,514,50
Delaware,10,0,0,37,0
Mississippi,28,4577,4577,1136,66
New Mexico,35,2819,2819,132,16
North Dakota,38,408,408,48,8
Wyoming,56,176,176,17,5
Alaska,02,167,167,37,3
Maine,23,393,393,10,3
Alabama,01,11537,11537,1403,224
Idaho,16,954,954,242,23
Montana,30,264,264,84,5
West Virginia,54,0,0,122,0
