state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,13391,13391,1175,100
Illinois,17,0,0,4389,0
California,06,0,0,17750,0
Arizona,04,33037,33037,3899,361
Massachusetts,25,15372,15372,1919,0
Wisconsin,55,20120,20120,1268,68
Texas,48,0,0,9856,0
Nebraska,31,4977,4977,598,25
Utah,49,10039,10039,582,71
Oregon,41,5837,5837,602,0
Florida,12,60791,60791,5235,148
New York,36,89995,89995,6185,0
Rhode Island,44,5822,5822,459,0
Georgia,13,39412,39412,3787,102
New Hampshire,33,889,889,261,3
North Carolina,37,0,0,2748,0
New Jersey,34,45182,45182,3574,150
Colorado,08,17171,17171,1398,41
Maryland,24,24623,24623,1662,201
Nevada,32,0,0,1924,0
Tennessee,47,13745,13745,2978,119
Hawaii,15,1655,1655,52,0
Indiana,18,32496,32496,2932,225
Kentucky,21,12483,12483,1607,38
Minnesota,27,20547,20547,1144,79
Oklahoma,40,15309,15309,1704,178
Pennsylvania,42,0,0,6074,0
South Carolina,45,13444,13444,1471,77
District of Columbia,11,0,0,235,0
Kansas,20,6175,6175,688,0
Missouri,29,0,0,2757,0
Vermont,50,0,0,24,0
Virginia,51,16878,16878,2405,54
Connecticut,09,12257,12257,1167,0
Iowa,19,0,0,639,0
Louisiana,22,0,0,1534,0
Ohio,39,34747,34747,4758,194
Michigan,26,0,0,3284,0
South Dakota,46,5411,5411,345,26
Arkansas,05,10502,10502,1061,15
Delaware,10,0,0,410,0
Mississippi,28,7901,7901,1319,0
New Mexico,35,8733,8733,820,39
North Dakota,38,3394,3394,156,7
Wyoming,56,1007,1007,157,5
Alaska,02,935,935,127,0
Maine,23,979,979,162,8
Alabama,01,30224,30224,2337,0
Idaho,16,5121,5121,467,35
Montana,30,3261,3261,258,13
West Virginia,54,0,0,693,0
