state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,8077,8077,392,59
Illinois,17,0,0,2261,0
California,06,0,0,3104,0
Arizona,04,20719,20719,777,71
Massachusetts,25,13021,13021,517,12
Wisconsin,55,9537,9537,1192,218
Texas,48,0,0,4588,0
Nebraska,31,2680,2680,380,22
Utah,49,4753,4753,311,65
Oregon,41,2947,2947,168,61
Florida,12,47895,47895,2094,231
New York,36,89995,89995,942,0
Rhode Island,44,3072,3072,135,22
Georgia,13,30541,30541,1713,153
New Hampshire,33,763,763,16,2
North Carolina,37,0,0,1203,0
New Jersey,34,24362,24362,781,89
Colorado,08,8332,8332,516,84
Maryland,24,16516,16516,464,41
Nevada,32,0,0,506,0
Tennessee,47,9681,9681,1424,63
Hawaii,15,1012,1012,96,7
Indiana,18,14983,14983,1425,157
Kentucky,21,6665,6665,776,49
Minnesota,27,9042,9042,567,126
Oklahoma,40,7964,7964,821,149
Pennsylvania,42,0,0,918,0
South Carolina,45,10028,10028,697,69
District of Columbia,11,0,0,85,0
Kansas,20,3421,3421,285,0
Missouri,29,0,0,1439,0
Vermont,50,0,0,0,0
Virginia,51,11955,11955,937,73
Connecticut,09,12043,12043,217,0
Iowa,19,0,0,501,0
Louisiana,22,0,0,586,0
Ohio,39,17388,17388,1221,216
Michigan,26,0,0,1050,0
South Dakota,46,2193,2193,329,47
Arkansas,05,6428,6428,627,67
Delaware,10,0,0,107,0
Mississippi,28,6380,6380,664,0
New Mexico,35,4030,4030,205,53
North Dakota,38,1301,1301,209,34
Wyoming,56,371,371,66,7
Alaska,02,389,389,38,2
Maine,23,469,469,9,0
Alabama,01,19081,19081,846,0
Idaho,16,2231,2231,187,25
Montana,30,1055,1055,360,35
West Virginia,54,0,0,191,0
