state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,8149,8149,407,25
Illinois,17,0,0,2463,0
California,06,0,0,3051,0
Arizona,04,20938,20938,848,118
Massachusetts,25,13082,13082,521,26
Wisconsin,55,9855,9855,1202,151
Texas,48,0,0,4931,0
Nebraska,31,2741,2741,400,35
Utah,49,4880,4880,318,73
Oregon,41,2989,2989,183,25
Florida,12,48320,48320,2074,425
New York,36,89995,89995,986,0
Rhode Island,44,3116,3116,140,25
Georgia,13,30829,30829,1699,153
New Hampshire,33,765,765,18,2
North Carolina,37,0,0,1205,0
New Jersey,34,24517,24517,852,76
Colorado,08,8478,8478,547,98
Maryland,24,16603,16603,458,54
Nevada,32,0,0,520,0
Tennessee,47,9802,9802,1424,68
Hawaii,15,1033,1033,75,8
Indiana,18,15304,15304,1515,141
Kentucky,21,6761,6761,800,40
Minnesota,27,9226,9226,584,79
Oklahoma,40,8170,8170,910,93
Pennsylvania,42,0,0,1042,0
South Carolina,45,10102,10102,766,40
District of Columbia,11,0,0,95,0
Kansas,20,3506,3506,329,0
Missouri,29,0,0,1352,0
Vermont,50,0,0,3,0
Virginia,51,12073,12073,1109,63
Connecticut,09,12257,12257,232,214
Iowa,19,0,0,530,0
Louisiana,22,0,0,598,0
Ohio,39,17682,17682,1293,159
Michigan,26,0,0,1182,0
South Dakota,46,2277,2277,355,38
Arkansas,05,6526,6526,603,0
Delaware,10,0,0,110,0
Mississippi,28,6380,6380,695,0
New Mexico,35,4128,4128,213,49
North Dakota,38,1351,1351,276,27
Wyoming,56,373,373,81,0
Alaska,02,401,401,41,6
Maine,23,473,473,7,3
Alabama,01,19448,19448,864,118
Idaho,16,2327,2327,193,50
Montana,30,1091,1091,353,23
West Virginia,54,0,0,188,0
