state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,18156,18156,737,85
Illinois,17,0,0,2271,0
California,06,0,0,13137,0
Arizona,04,54507,54507,3060,198
Massachusetts,25,18402,18402,1451,0
Wisconsin,55,24824,24824,593,90
Texas,48,0,0,9957,0
Nebraska,31,5887,5887,275,14
Utah,49,13828,13828,419,73
Oregon,41,7971,7971,263,45
Florida,12,75363,75363,5377,301
New York,36,89995,89995,7804,0
Rhode Island,44,8468,8468,288,0
Georgia,13,51732,51732,4239,253
New Hampshire,33,1054,1054,183,4
North Carolina,37,0,0,2468,0
New Jersey,34,61452,61452,2895,119
Colorado,08,22277,22277,538,19
Maryland,24,32863,32863,1419,176
Nevada,32,0,0,983,0
Tennessee,47,17642,17642,1514,78
Hawaii,15,2106,2106,64,0
Indiana,18,40971,40971,1399,80
Kentucky,21,17380,17380,1294,98
Minnesota,27,24686,24686,362,69
Oklahoma,40,22593,22593,917,140
Pennsylvania,42,0,0,2934,0
South Carolina,45,18677,18677,1600,116
District of Columbia,11,0,0,239,0
Kansas,20,8680,8680,526,0
Missouri,29,0,0,1666,0
Vermont,50,0,0,64,0
Virginia,51,22035,22035,2376,142
Connecticut,09,12257,12257,827,0
Iowa,19,0,0,336,0
Louisiana,22,0,0,1275,0
Ohio,39,47477,47477,2030,139
Michigan,26,0,0,1296,0
South Dakota,46,6359,6359,115,13
Arkansas,05,14049,14049,750,147
Delaware,10,0,0,267,0
Mississippi,28,8777,8777,842,0
New Mexico,35,12392,12392,419,11
North Dakota,38,3801,3801,36,4
Wyoming,56,1303,1303,44,1
Alaska,02,1219,1219,44,0
Maine,23,1436,1436,132,5
Alabama,01,43005,43005,1551,0
Idaho,16,6785,6785,199,14
Montana,30,4350,4350,107,9
West Virginia,54,0,0,378,0
