state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,12525,12525,1140,157
Illinois,17,0,0,4951,0
California,06,0,0,14578,0
Arizona,04,31142,31142,3677,193
Massachusetts,25,14823,14823,1788,0
Wisconsin,55,19326,19326,1471,77
Texas,48,0,0,9304,0
Nebraska,31,4796,4796,692,12
Utah,49,9486,9486,580,65
Oregon,41,5395,5395,625,0
Florida,12,59033,59033,4932,142
New York,36,89995,89995,5712,0
Rhode Island,44,5534,5534,433,0
Georgia,13,37737,37737,3338,100
New Hampshire,33,862,862,256,1
North Carolina,37,0,0,2553,0
New Jersey,34,43911,43911,3635,77
Colorado,08,16174,16174,1585,48
Maryland,24,23558,23558,1742,165
Nevada,32,0,0,2025,0
Tennessee,47,13206,13206,2986,62
Hawaii,15,1357,1357,58,0
Indiana,18,31035,31035,3072,239
Kentucky,21,11463,11463,1712,157
Minnesota,27,19638,19638,1283,102
Oklahoma,40,14362,14362,1664,34
Pennsylvania,42,0,0,6026,0
South Carolina,45,12910,12910,1276,36
District of Columbia,11,0,0,239,0
Kansas,20,5895,5895,623,95
Missouri,29,0,0,2624,0
Vermont,50,0,0,28,0
Virginia,51,16073,16073,2260,59
Connecticut,09,12257,12257,1243,0
Iowa,19,0,0,764,0
Louisiana,22,0,0,1527,0
Ohio,39,32264,32264,5157,291
Michigan,26,0,0,3802,0
South Dakota,46,5200,5200,441,26
Arkansas,05,9991,9991,1050,64
Delaware,10,0,0,373,0
Mississippi,28,7901,7901,1255,198
New Mexico,35,8037,8037,860,159
North Dakota,38,3073,3073,277,89
Wyoming,56,967,967,184,11
Alaska,02,889,889,140,3
Maine,23,893,893,198,15
Alabama,01,28913,28913,2286,767
Idaho,16,4763,4763,444,17
Montana,30,3080,3080,350,0
West Virginia,54,0,0,720,0
