state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,3156,3156,572,31
Illinois,17,0,0,3928,0
California,06,0,0,4762,0
Arizona,04,2943,2943,796,58
Massachusetts,25,9162,9162,2323,122
Wisconsin,55,2259,2259,416,41
Texas,48,0,0,1578,0
Nebraska,31,0,0,0,0
Utah,49,660,660,163,13
Oregon,41,732,732,140,9
Florida,12,9372,9372,0,172
New York,36,87843,87843,4844,205
Rhode Island,44,1537,1537,242,31
Georgia,13,7313,7313,889,78
New Hampshire,33,393,393,97,8
North Carolina,37,0,0,568,0
New Jersey,34,0,0,3049,0
Colorado,08,4082,4082,571,45
Maryland,24,7634,7634,1329,149
Nevada,32,0,0,404,0
Tennessee,47,1560,1560,570,21
Hawaii,15,83,83,0,1
Indiana,18,5285,5285,1203,896
Kentucky,21,2041,2041,475,25
Minnesota,27,2432,2432,534,52
Oklahoma,40,926,926,190,9
Pennsylvania,42,0,0,1580,0
South Carolina,45,1534,1534,429,90
District of Columbia,11,0,0,342,0
Kansas,20,787,787,0,27
Missouri,29,0,0,711,0
Vermont,50,0,0,16,0
Virginia,51,4145,4145,1459,52
Connecticut,09,12538,12538,740,1592
Iowa,19,0,0,362,0
Louisiana,22,0,0,867,0
Ohio,39,5379,5379,879,84
Michigan,26,0,0,955,0
South Dakota,46,351,351,83,9
Arkansas,05,584,584,86,49
Delaware,10,0,0,221,0
Mississippi,28,1966,1966,557,34
New Mexico,35,1139,1139,206,0
North Dakota,38,147,147,39,3
Wyoming,56,76,76,10,1
Alaska,02,49,49,15,2
Maine,23,240,240,45,5
Alabama,01,1561,1561,598,33
Idaho,16,223,223,19,2
Montana,30,65,65,3,0
West Virginia,54,0,0,47,0
