state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,0,0,393,0
Illinois,17,0,0,4739,0
California,06,0,0,4538,0
Arizona,04,2386,2386,739,36
Massachusetts,25,7551,7551,3229,117
Wisconsin,55,1806,1806,339,39
Texas,48,0,0,1735,0
Nebraska,31,0,0,0,0
Utah,49,498,498,172,10
Oregon,41,659,659,159,14
Florida,12,7325,7325,0,168
New York,36,83285,83285,7776,555
Rhode Island,44,1218,1218,292,31
Georgia,13,5987,5987,1179,52
New Hampshire,33,309,309,112,1
North Carolina,37,0,0,513,0
New Jersey,34,0,0,4628,0
Colorado,08,3623,3623,790,23
Maryland,24,5932,5932,1665,121
Nevada,32,0,0,0,0
Tennessee,47,1319,1319,509,20
Hawaii,15,81,81,0,7
Indiana,18,4389,4389,1361,0
Kentucky,21,1696,1696,369,12
Minnesota,27,1612,1612,476,63
Oklahoma,40,822,822,177,17
Pennsylvania,42,0,0,2285,0
South Carolina,45,1252,1252,0,100
District of Columbia,11,0,0,447,0
Kansas,20,635,635,0,27
Missouri,29,0,0,855,0
Vermont,50,0,0,21,0
Virginia,51,3164,3164,1593,105
Connecticut,09,9389,9389,1301,0
Iowa,19,0,0,402,0
Louisiana,22,0,0,1333,0
Ohio,39,4300,4300,929,82
Michigan,26,0,0,1531,0
South Dakota,46,253,253,79,6
Arkansas,05,471,471,64,5
Delaware,10,0,0,288,0
Mississippi,28,1512,1512,607,34
New Mexico,35,789,789,198,0
North Dakota,38,110,110,34,6
Wyoming,56,64,64,12,4
Alaska,02,41,41,8,0
Maine,23,198,198,43,4
Alabama,01,1228,1228,437,21
Idaho,16,206,206,19,0
Montana,30,62,62,4,0
West Virginia,54,0,0,53,0
