state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,4582,4582,425,38
Illinois,17,0,0,1385,0
California,06,0,0,7705,0
Arizona,04,5387,5387,3421,115
Massachusetts,25,11517,11517,662,28
Wisconsin,55,3683,3683,274,44
Texas,48,0,0,9610,0
Nebraska,31,1398,1398,102,29
Utah,49,1678,1678,236,25
Oregon,41,1141,1141,191,16
Florida,12,17068,17068,0,335
New York,36,89995,89995,841,0
Rhode Island,44,2043,2043,56,7
Georgia,13,12500,12500,2215,274
New Hampshire,33,577,577,24,3
North Carolina,37,0,0,994,0
New Jersey,34,20426,20426,935,180
Colorado,08,5820,5820,335,79
Maryland,24,11184,11184,398,73
Nevada,32,0,0,876,0
Tennessee,47,3023,3023,1160,73
Hawaii,15,119,119,0,0
Indiana,18,7365,7365,667,32
Kentucky,21,2737,2737,453,29
Minnesota,27,4272,4272,265,20
Oklahoma,40,1804,1804,458,63
Pennsylvania,42,0,0,649,0
South Carolina,45,3090,3090,1404,0
District of Columbia,11,0,0,86,0
Kansas,20,1269,1269,0,34
Missouri,29,0,0,694,0
Vermont,50,0,0,14,0
Virginia,51,6577,6577,971,65
Connecticut,09,10411,10411,88,0
Iowa,19,0,0,165,0
Louisiana,22,0,0,1022,0
Ohio,39,8489,8489,890,106
Michigan,26,0,0,505,0
South Dakota,46,709,709,54,10
Arkansas,05,1655,1655,358,51
Delaware,10,0,0,57,0
Mississippi,28,3365,3365,883,50
New Mexico,35,2101,2101,154,45
North Dakota,38,252,252,26,4
Wyoming,56,120,120,13,1
Alaska,02,84,84,30,4
Maine,23,363,363,22,3
Alabama,01,3006,3006,1116,45
Idaho,16,396,396,118,9
Montana,30,117,117,22,0
West Virginia,54,0,0,48,0
