state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,7357,7357,401,8
Illinois,17,0,0,1637,0
California,06,0,0,3307,0
Arizona,04,21972,21972,521,30
Massachusetts,25,12619,12619,389,13
Wisconsin,55,6962,6962,543,65
Texas,48,0,0,3221,0
Nebraska,31,2259,2259,231,12
Utah,49,3668,3668,190,49
Oregon,41,2468,2468,187,30
Florida,12,43793,43793,2121,172
New York,36,89995,89995,511,0
Rhode Island,44,2725,2725,94,0
Georgia,13,28035,28035,1891,132
New Hampshire,33,732,732,16,0
North Carolina,37,0,0,903,0
New Jersey,34,23285,23285,405,33
Colorado,08,7479,7479,248,25
Maryland,24,15328,15328,344,29
Nevada,32,0,0,460,0
Tennessee,47,8477,8477,838,64
Hawaii,15,779,779,150,16
Indiana,18,12463,12463,856,75
Kentucky,21,5147,5147,553,28
Minnesota,27,7391,7391,303,56
Oklahoma,40,6192,6192,590,62
Pennsylvania,42,0,0,435,0
South Carolina,45,8994,8994,773,49
District of Columbia,11,0,0,101,0
Kansas,20,2816,2816,343,50
Missouri,29,0,0,1068,0
Vermont,50,0,0,2,0
Virginia,51,10806,10806,965,37
Connecticut,09,11560,11560,76,0
Iowa,19,0,0,330,0
Louisiana,22,0,0,570,0
Ohio,39,15127,15127,595,76
Michigan,26,0,0,558,0
South Dakota,46,1400,1400,194,25
Arkansas,05,5202,5202,478,42
Delaware,10,0,0,53,0
Mississippi,28,5607,5607,609,0
New Mexico,35,3420,3420,75,18
North Dakota,38,789,789,89,12
Wyoming,56,256,256,22,1
Alaska,02,302,302,43,2
Maine,23,442,442,10,0
Alabama,01,16852,16852,718,74
Idaho,16,1766,1766,147,12
Montana,30,675,675,140,25
West Virginia,54,0,0,177,0
