state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,6842,6842,403,-6
Illinois,17,0,0,1504,0
California,06,0,0,4226,0
Arizona,04,21527,21527,666,7
Massachusetts,25,12350,12350,312,3
Wisconsin,55,6070,6070,286,22
Texas,48,0,0,3715,0
Nebraska,31,2065,2065,176,5
Utah,49,3207,3207,152,19
Oregon,41,2161,2161,147,0
Florida,12,40487,40487,3167,114
New York,36,89995,89995,410,0
Rhode Island,44,2587,2587,79,6
Georgia,13,25523,25523,2202,22
New Hampshire,33,718,718,10,1
North Carolina,37,0,0,830,0
New Jersey,34,22796,22796,403,6
Colorado,08,7138,7138,227,4
Maryland,24,14573,14573,341,57
Nevada,32,0,0,597,0
Tennessee,47,7296,7296,969,20
Hawaii,15,592,592,265,9
Indiana,18,11365,11365,751,47
Kentucky,21,4713,4713,535,0
Minnesota,27,6719,6719,284,43
Oklahoma,40,5105,5105,472,0
Pennsylvania,42,0,0,490,0
South Carolina,45,8144,8144,787,11
District of Columbia,11,0,0,80,0
Kansas,20,2415,2415,314,0
Missouri,29,0,0,934,0
Vermont,50,0,0,4,0
Virginia,51,9881,9881,1083,32
Connecticut,09,11275,11275,58,0
Iowa,19,0,0,309,0
Louisiana,22,0,0,790,0
Ohio,39,13841,13841,691,33
Michigan,26,0,0,616,0
South Dakota,46,1079,1079,81,11
Arkansas,05,4462,4462,389,6
Delaware,10,0,0,62,0
Mississippi,28,5326,5326,758,0
New Mexico,35,3186,3186,65,15
North Dakota,38,598,598,64,2
Wyoming,56,219,219,15,-4
Alaska,02,256,256,41,0
Maine,23,424,424,6,0
Alabama,01,14914,14914,841,0
Idaho,16,1466,1466,151,5
Montana,30,486,486,156,9
West Virginia,54,0,0,149,0
