state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,15415,15415,1159,88
Illinois,17,0,0,3921,0
California,06,0,0,22851,0
Arizona,04,42112,42112,4920,1049
Massachusetts,25,16603,16603,2386,505
Wisconsin,55,22070,22070,1128,99
Texas,48,0,0,13784,0
Nebraska,31,5386,5386,506,28
Utah,49,11578,11578,594,115
Oregon,41,6737,6737,530,102
Florida,12,65622,65622,7327,390
New York,36,89995,89995,8548,0
Rhode Island,44,6956,6956,397,51
Georgia,13,43796,43796,5751,167
New Hampshire,33,922,922,314,3
North Carolina,37,0,0,3960,0
New Jersey,34,49515,49515,3711,191
Colorado,08,19734,19734,954,31
Maryland,24,27900,27900,1834,189
Nevada,32,0,0,1918,0
Tennessee,47,15068,15068,3533,133
Hawaii,15,1852,1852,121,9
Indiana,18,36517,36517,2812,203
Kentucky,21,14251,14251,1744,212
Minnesota,27,22541,22541,787,104
Oklahoma,40,18193,18193,1987,307
Pennsylvania,42,0,0,5491,0
South Carolina,45,15202,15202,2425,187
District of Columbia,11,0,0,278,0
Kansas,20,7113,7113,838,0
Missouri,29,0,0,2784,0
Vermont,50,0,0,39,0
Virginia,51,18790,18790,3000,154
Connecticut,09,12257,12257,1087,0
Iowa,19,0,0,613,0
Louisiana,22,0,0,2033,0
Ohio,39,40469,40469,4180,365
Michigan,26,0,0,2578,0
South Dakota,46,5829,5829,264,24
Arkansas,05,11900,11900,1326,33
Delaware,10,0,0,453,0
Mississippi,28,8260,8260,1495,0
New Mexico,35,10366,10366,722,88
North Dakota,38,3623,3623,83,13
Wyoming,56,1184,1184,112,8
Alaska,02,1084,1084,89,10
Maine,23,1135,1135,202,11
Alabama,01,36411,36411,3015,352
Idaho,16,5871,5871,366,47
Montana,30,3782,3782,208,44
West Virginia,54,0,0,789,0
