state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,0,0,428,0
Illinois,17,0,0,4717,0
California,06,0,0,4722,0
Arizona,04,2033,2033,718,47
Massachusetts,25,6378,6378,3601,209
Wisconsin,55,1591,1591,352,47
Texas,48,0,0,1725,0
Nebraska,31,0,0,0,0
Utah,49,418,418,0,15
Oregon,41,591,591,208,13
Florida,12,5945,5945,0,150
New York,36,78942,78942,10350,718
Rhode Island,44,977,977,333,40
Georgia,13,5387,5387,1440,118
New Hampshire,33,270,270,103,8
North Carolina,37,0,0,502,0
New Jersey,34,0,0,5713,0
Colorado,08,2793,2793,883,46
Maryland,24,4910,4910,1657,192
Nevada,32,0,0,0,0
Tennessee,47,1125,1125,474,12
Hawaii,15,72,72,0,2
Indiana,18,0,0,1456,0
Kentucky,21,1411,1411,334,36
Minnesota,27,1159,1159,389,63
Oklahoma,40,743,743,236,28
Pennsylvania,42,0,0,2673,0
South Carolina,45,1110,1110,0,0
District of Columbia,11,0,0,0,0
Kansas,20,541,541,0,7
Missouri,29,0,0,896,0
Vermont,50,0,0,11,0
Virginia,51,2416,2416,1426,94
Connecticut,09,7758,7758,1592,0
Iowa,19,0,0,353,0
Louisiana,22,0,0,1545,0
Ohio,39,3712,3712,1003,78
Michigan,26,0,0,2100,0
South Dakota,46,187,187,71,8
Arkansas,05,414,414,95,0
Delaware,10,0,0,300,0
Mississippi,28,1265,1265,632,39
New Mexico,35,587,587,168,0
North Dakota,38,90,90,32,4
Wyoming,56,58,58,13,2
Alaska,02,39,39,10,0
Maine,23,181,181,36,4
Alabama,01,1023,1023,420,15
Idaho,16,178,178,23,0
Montana,30,61,61,5,0
West Virginia,54,0,0,76,0
