state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,4665,4665,460,35
Illinois,17,0,0,1436,0
California,06,0,0,7896,0
Arizona,04,5659,5659,3432,133
Massachusetts,25,11582,11582,632,23
Wisconsin,55,3766,3766,278,40
Texas,48,0,0,10002,0
Nebraska,31,1419,1419,100,14
Utah,49,1748,1748,229,48
Oregon,41,1162,1162,192,7
Florida,12,17916,17916,6974,437
New York,36,89995,89995,826,0
Rhode Island,44,2051,2051,61,8
Georgia,13,12937,12937,2443,331
New Hampshire,33,581,581,24,3
North Carolina,37,0,0,1046,0
New Jersey,34,20567,20567,904,62
Colorado,08,5864,5864,328,33
Maryland,24,11300,11300,385,79
Nevada,32,0,0,924,0
Tennessee,47,3146,3146,1184,58
Hawaii,15,123,123,0,1
Indiana,18,7458,7458,667,72
Kentucky,21,2763,2763,409,16
Minnesota,27,4329,4329,227,24
Oklahoma,40,1949,1949,487,56
Pennsylvania,42,0,0,653,0
South Carolina,45,3398,3398,1438,308
District of Columbia,11,0,0,96,0
Kansas,20,1304,1304,0,35
Missouri,29,0,0,886,0
Vermont,50,0,0,11,0
Virginia,51,6675,6675,1006,50
Connecticut,09,10552,10552,77,0
Iowa,19,0,0,169,0
Louisiana,22,0,0,1117,0
Ohio,39,8701,8701,928,131
Michigan,26,0,0,505,0
South Dakota,46,726,726,65,8
Arkansas,05,1743,1743,402,38
Delaware,10,0,0,58,0
Mississippi,28,3455,3455,981,41
New Mexico,35,2161,2161,151,24
North Dakota,38,260,260,33,3
Wyoming,56,121,121,12,0
Alaska,02,90,90,30,3
Maine,23,366,366,15,1
Alabama,01,3089,3089,1201,50
Idaho,16,432,432,124,21
Montana,30,123,123,21,3
West Virginia,54,0,0,56,0
