state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,12773,12773,1181,124
Illinois,17,0,0,4793,0
California,06,0,0,15886,0
Arizona,04,31468,31468,3809,202
Massachusetts,25,14823,14823,1851,0
Wisconsin,55,19656,19656,1410,146
Texas,48,0,0,9528,0
Nebraska,31,4884,4884,677,53
Utah,49,9692,9692,566,107
Oregon,41,5579,5579,599,76
Florida,12,59751,59751,5156,366
New York,36,89995,89995,6097,0
Rhode Island,44,5700,5700,469,84
Georgia,13,38418,38418,3564,307
New Hampshire,33,870,870,286,7
North Carolina,37,0,0,2811,0
New Jersey,34,44461,44461,3672,325
Colorado,08,16614,16614,1554,127
Maryland,24,23908,23908,1762,197
Nevada,32,0,0,1550,0
Tennessee,47,13437,13437,3100,105
Hawaii,15,1371,1371,60,7
Indiana,18,31575,31575,3192,251
Kentucky,21,11726,11726,1793,137
Minnesota,27,19980,19980,1277,195
Oklahoma,40,14665,14665,1717,257
Pennsylvania,42,0,0,6346,0
South Carolina,45,13070,13070,1046,110
District of Columbia,11,0,0,245,0
Kansas,20,6050,6050,858,155
Missouri,29,0,0,2529,0
Vermont,50,0,0,33,0
Virginia,51,16353,16353,2349,166
Connecticut,09,12257,12257,1254,0
Iowa,19,0,0,776,0
Louisiana,22,0,0,1584,0
Ohio,39,33375,33375,5143,497
Michigan,26,0,0,3571,0
South Dakota,46,5265,5265,412,23
Arkansas,05,10230,10230,1079,134
Delaware,10,0,0,400,0
Mississippi,28,7901,7901,1316,0
New Mexico,35,8299,8299,838,160
North Dakota,38,3073,3073,160,0
Wyoming,56,976,976,173,5
Alaska,02,921,921,146,13
Maine,23,934,934,187,25
Alabama,01,29559,29559,2310,300
Idaho,16,4908,4908,444,81
Montana,30,3153,3153,311,34
West Virginia,54,0,0,766,0
