state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,4662,4662,447,0
Illinois,17,0,0,1342,0
California,06,0,0,7854,0
Arizona,04,5795,5795,3432,45
Massachusetts,25,11608,11608,583,8
Wisconsin,55,3824,3824,264,27
Texas,48,0,0,10410,0
Nebraska,31,1421,1421,95,2
Utah,49,1824,1824,276,27
Oregon,41,1180,1180,208,0
Florida,12,18590,18590,7542,249
New York,36,89995,89995,801,0
Rhode Island,44,2051,2051,61,0
Georgia,13,13259,13259,2512,54
New Hampshire,33,589,589,22,4
North Carolina,37,0,0,1070,0
New Jersey,34,20632,20632,890,0
Colorado,08,5895,5895,324,10
Maryland,24,11420,11420,392,67
Nevada,32,0,0,895,0
Tennessee,47,3250,3250,1184,57
Hawaii,15,125,125,0,0
Indiana,18,7527,7527,702,69
Kentucky,21,2779,2779,370,0
Minnesota,27,4399,4399,251,33
Oklahoma,40,2032,2032,499,40
Pennsylvania,42,0,0,652,0
South Carolina,45,3398,3398,1472,0
District of Columbia,11,0,0,95,0
Kansas,20,1304,1304,0,0
Missouri,29,0,0,883,0
Vermont,50,0,0,17,0
Virginia,51,6744,6744,1045,37
Connecticut,09,10552,10552,77,0
Iowa,19,0,0,177,0
Louisiana,22,0,0,1243,0
Ohio,39,8842,8842,954,72
Michigan,26,0,0,505,0
South Dakota,46,738,738,53,0
Arkansas,05,1822,1822,412,42
Delaware,10,0,0,58,0
Mississippi,28,3495,3495,963,0
New Mexico,35,2204,2204,170,17
North Dakota,38,271,271,38,8
Wyoming,56,124,124,12,1
Alaska,02,95,95,27,2
Maine,23,371,371,19,3
Alabama,01,6745,6745,1163,0
Idaho,16,468,468,140,19
Montana,30,128,128,26,1
West Virginia,54,0,0,56,0
