state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,14276,14276,1280,180
Illinois,17,0,0,4313,0
California,06,0,0,21240,0
Arizona,04,36075,36075,4475,445
Massachusetts,25,15905,15905,2259,0
Wisconsin,55,21081,21081,1082,170
Texas,48,0,0,11775,0
Nebraska,31,5159,5159,534,51
Utah,49,10763,10763,548,120
Oregon,41,6277,6277,563,109
Florida,12,62999,62999,6280,492
New York,36,89995,89995,7814,0
Rhode Island,44,6453,6453,423,50
Georgia,13,41403,41403,4839,451
New Hampshire,33,901,901,295,6
North Carolina,37,0,0,3377,0
New Jersey,34,46784,46784,3765,301
Colorado,08,18230,18230,1188,268
Maryland,24,26247,26247,1725,169
Nevada,32,0,0,1929,0
Tennessee,47,14276,14276,3274,120
Hawaii,15,1746,1746,89,-5
Indiana,18,34534,34534,2951,262
Kentucky,21,13224,13224,1635,125
Minnesota,27,21605,21605,966,185
Oklahoma,40,16426,16426,1927,90
Pennsylvania,42,0,0,6022,0
South Carolina,45,14103,14103,1954,53
District of Columbia,11,0,0,233,0
Kansas,20,6568,6568,554,0
Missouri,29,0,0,2540,0
Vermont,50,0,0,34,0
Virginia,51,17782,17782,2698,177
Connecticut,09,12257,12257,1226,0
Iowa,19,0,0,620,0
Louisiana,22,0,0,1689,0
Ohio,39,37636,37636,4516,560
Michigan,26,0,0,2906,0
South Dakota,46,5605,5605,303,22
Arkansas,05,11168,11168,1161,106
Delaware,10,0,0,427,0
Mississippi,28,8145,8145,1409,0
New Mexico,35,9513,9513,806,108
North Dakota,38,3533,3533,115,33
Wyoming,56,1093,1093,119,40
Alaska,02,1004,1004,83,10
Maine,23,1041,1041,181,9
Alabama,01,33452,33452,2804,453
Idaho,16,5476,5476,280,51
Montana,30,3514,3514,218,50
West Virginia,54,0,0,761,0
