state,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease
Washington,53,8124,8124,414,47
Illinois,17,0,0,2338,0
California,06,0,0,3077,0
Arizona,04,20820,20820,832,101
Massachusetts,25,13056,13056,519,35
Wisconsin,55,9704,9704,1190,167
Texas,48,0,0,4782,0
Nebraska,31,2706,2706,380,26
Utah,49,4807,4807,338,54
Oregon,41,2964,2964,183,17
Florida,12,47895,47895,2125,0
New York,36,89995,89995,950,0
Rhode Island,44,3091,3091,130,19
Georgia,13,30676,30676,1736,135
New Hampshire,33,763,763,14,0
North Carolina,37,0,0,1219,0
New Jersey,34,24441,24441,844,79
Colorado,08,8380,8380,532,48
Maryland,24,16549,16549,463,33
Nevada,32,0,0,535,0
Tennessee,47,9734,9734,1424,53
Hawaii,15,1025,1025,81,13
Indiana,18,15163,15163,1484,180
Kentucky,21,6721,6721,794,56
Minnesota,27,9147,9147,588,105
Oklahoma,40,8077,8077,870,113
Pennsylvania,42,0,0,966,0
South Carolina,45,10062,10062,743,34
District of Columbia,11,0,0,96,0
Kansas,20,3506,3506,329,85
Missouri,29,0,0,1415,0
Vermont,50,0,0,4,0
Virginia,51,12010,12010,1010,55
Connecticut,09,12043,12043,213,0
Iowa,19,0,0,534,0
Louisiana,22,0,0,608,0
Ohio,39,17523,17523,1252,135
Michigan,26,0,0,1050,0
South Dakota,46,2239,2239,332,46
Arkansas,05,6526,6526,626,98
Delaware,10,0,0,99,0
Mississippi,28,6380,6380,711,0
New Mexico,35,4079,4079,202,49
North Dakota,38,1324,1324,219,23
Wyoming,56,373,373,66,2
Alaska,02,395,395,41,6
Maine,23,470,470,7,1
Alabama,01,19330,19330,863,249
Idaho,16,2277,2277,187,46
Montana,30,1068,1068,345,13
West Virginia,54,0,0,188,0
